check_name,dataset,expected,observed,status
row_count_hcp_master,hcp_master.csv,== 2500,2500,pass
row_count_events,events.csv,== 300,300,pass
row_count_event_invitations,event_invitations.csv,20000 .. 30000,28331,pass
row_count_event_attendance,event_attendance.csv,8000 .. 12000,9926,pass
row_count_hcp_rx_monthly,hcp_rx_monthly.csv,>= 45000,207596,pass
row_count_marketing_activity,marketing_activity.csv,>= 50000,80000,pass
row_count_event_cost,event_cost.csv,== 300,300,pass
row_count_market_factors,market_factors.csv,== 224,224,pass
row_count_identity_crosswalk,identity_crosswalk.csv,== 2500,2500,pass
row_count_business_assumptions,business_assumptions.csv,== 12 (4 products x 3 scenarios),12,pass
row_count_ground_truth,ground_truth.csv,> 0; one row per verified attendee of a Completed event,5033,pass
unique_key_hcp_master_hcp_id,hcp_master.csv,0 duplicate rows on (hcp_id); unique keys == 2500,0 duplicates; unique keys == 2500,pass
unique_key_events_event_id,events.csv,0 duplicate rows on (event_id); unique keys == 300,0 duplicates; unique keys == 300,pass
unique_key_event_invitations_event_hcp,event_invitations.csv,"0 duplicate rows on (event_id, hcp_id); unique keys == 28331",0 duplicates; unique keys == 28331,pass
unique_key_event_cost_event_id,event_cost.csv,0 duplicate rows on (event_id); unique keys == 300,0 duplicates; unique keys == 300,pass
unique_key_market_factors_region_month,market_factors.csv,"0 duplicate rows on (region, month); unique keys == 224",0 duplicates; unique keys == 224,pass
unique_key_identity_crosswalk_master_hcp_id,identity_crosswalk.csv,0 duplicate rows on (master_hcp_id); unique keys == 2500,0 duplicates; unique keys == 2500,pass
unique_key_business_assumptions_product_scenario,business_assumptions.csv,"0 duplicate rows on (product, scenario); unique keys == 12",0 duplicates; unique keys == 12,pass
unique_key_hcp_rx_monthly_hcp_month_product,hcp_rx_monthly.csv,"0 duplicate rows on (hcp_id, month, product); unique keys == 207596",0 duplicates; unique keys == 207596,pass
unique_key_marketing_activity_hcp_date,marketing_activity.csv,"0 duplicate rows on (hcp_id, date); unique keys == 80000",0 duplicates; unique keys == 80000,pass
unique_key_ground_truth_event_hcp,ground_truth.csv,"0 duplicate rows on (event_id, hcp_id); unique keys == 5033",0 duplicates; unique keys == 5033,pass
null_count_hcp_master,hcp_master.csv,0 nulls in any column,0,pass
null_count_events,events.csv,0 nulls in any column,0,pass
null_count_event_invitations,event_invitations.csv,0 nulls in any column,0,pass
null_count_event_attendance,event_attendance.csv,0 nulls in any column,0,pass
null_count_hcp_rx_monthly,hcp_rx_monthly.csv,0 nulls in any column,0,pass
null_count_marketing_activity,marketing_activity.csv,0 nulls in any column,0,pass
null_count_event_cost,event_cost.csv,0 nulls in any column,0,pass
null_count_market_factors,market_factors.csv,0 nulls in any column,0,pass
null_count_identity_crosswalk,identity_crosswalk.csv,== 125 (intentional identity gaps only),125,pass
null_count_business_assumptions,business_assumptions.csv,0 nulls in any column,0,pass
null_count_ground_truth,ground_truth.csv,0 nulls in any column,0,pass
fk_invitations_hcp_id_to_hcp_master,event_invitations.csv,0 violations,0,pass
fk_invitations_event_id_to_events,event_invitations.csv,0 violations,0,pass
fk_attendance_hcp_id_to_hcp_master,event_attendance.csv,0 violations,0,pass
fk_attendance_event_id_to_events,event_attendance.csv,0 violations,0,pass
fk_attendance_pair_to_invitations,event_attendance.csv,0 violations,0,pass
fk_rx_hcp_id_to_hcp_master,hcp_rx_monthly.csv,0 violations,0,pass
fk_rx_product_to_business_assumptions,hcp_rx_monthly.csv,0 violations,0,pass
fk_rx_month_to_market_factors,hcp_rx_monthly.csv,0 violations,0,pass
fk_marketing_hcp_id_to_hcp_master,marketing_activity.csv,0 violations,0,pass
fk_cost_event_id_to_events,event_cost.csv,0 violations,0,pass
fk_market_factors_region_to_hcp_master,market_factors.csv,0 violations,0,pass
fk_crosswalk_master_hcp_id_to_hcp_master,identity_crosswalk.csv,0 violations,0,pass
fk_ground_truth_event_id_to_events,ground_truth.csv,0 violations,0,pass
fk_ground_truth_hcp_id_to_hcp_master,ground_truth.csv,0 violations,0,pass
coverage_all_hcps_have_rx_history,hcp_rx_monthly.csv,2500 distinct hcp_id,2500,pass
coverage_all_hcps_have_marketing_history,marketing_activity.csv,2500 distinct hcp_id,2500,pass
coverage_all_events_have_cost_row,event_cost.csv,300 distinct event_id,300,pass
domain_hcp_master_specialty,hcp_master.csv,"values within ['Cardiology', 'Dermatology', 'Endocrinology', 'Gastroenterology', 'Neurology', 'Oncology', 'Primary Care', 'Psychiatry']",0 out-of-domain values,pass
domain_hcp_master_region,hcp_master.csv,"values within ['Midwest', 'Mountain', 'Northeast', 'Pacific Northwest', 'Southeast', 'Southwest', 'West']",0 out-of-domain values,pass
domain_hcp_master_segment,hcp_master.csv,"values within ['High', 'Low', 'Medium']",0 out-of-domain values,pass
domain_hcp_master_active_flag,hcp_master.csv,"values within ['0', '1']",0 out-of-domain values,pass
domain_events_status,events.csv,"values within ['Cancelled', 'Completed', 'Planned']",0 out-of-domain values,pass
domain_events_format,events.csv,"values within ['Hybrid', 'In-person', 'Virtual']",0 out-of-domain values,pass
