event_id,hcp_id,registered,verified_attended,duration,engagement
EV2001,HCP101718,1,1,67,33
EV2001,HCP100908,1,1,67,23
EV2001,HCP102021,1,1,59,51
EV2001,HCP102273,1,1,65,40
EV2001,HCP102219,1,1,74,61
EV2001,HCP100104,1,1,78,76
EV2001,HCP101894,1,0,0,0
EV2001,HCP102407,0,0,0,0
EV2001,HCP100252,0,0,0,0
EV2001,HCP100616,1,1,56,73
EV2001,HCP101642,1,1,63,44
EV2001,HCP101448,1,1,69,60
EV2001,HCP101419,1,1,58,29
EV2001,HCP101322,1,1,43,16
EV2001,HCP100241,1,1,60,63
EV2001,HCP100412,1,1,62,67
EV2001,HCP102389,1,1,73,85
EV2001,HCP101428,1,1,56,21
EV2001,HCP102468,1,1,57,71
EV2001,HCP101624,1,1,69,58
EV2001,HCP101508,1,1,70,75
EV2001,HCP101984,1,1,60,42
EV2001,HCP101317,1,1,65,51
EV2001,HCP100839,1,1,64,38
EV2001,HCP101187,1,0,0,0
EV2001,HCP100848,1,0,0,0
EV2001,HCP100947,1,1,71,50
EV2001,HCP101022,1,0,0,0
EV2001,HCP101261,1,1,66,37
EV2001,HCP101329,1,1,52,48
EV2001,HCP101844,1,1,63,64
EV2001,HCP100075,0,0,0,0
EV2001,HCP100827,1,1,72,24
EV2001,HCP100639,1,1,62,57
EV2001,HCP100088,1,1,72,39
EV2001,HCP102138,1,1,71,76
EV2001,HCP100161,1,0,0,0
EV2001,HCP101537,1,1,59,58
EV2001,HCP101643,1,1,55,42
EV2001,HCP101637,1,1,72,68
EV2001,HCP101364,1,1,66,81
EV2001,HCP100682,1,0,0,0
EV2001,HCP101137,1,1,61,26
EV2001,HCP102011,1,0,0,0
EV2001,HCP101603,1,1,67,43
EV2001,HCP101742,1,1,68,60
EV2001,HCP102061,1,1,68,78
EV2001,HCP101730,1,1,69,53
EV2001,HCP102466,0,0,0,0
EV2001,HCP100824,1,1,68,77
EV2001,HCP102448,1,1,59,57
EV2001,HCP101527,1,1,59,46
EV2001,HCP100990,1,1,61,42
EV2001,HCP100760,0,0,0,0
EV2001,HCP100337,1,1,72,39
EV2001,HCP101494,1,1,79,39
EV2001,HCP100444,1,1,62,44
EV2001,HCP100999,1,0,0,0
EV2001,HCP101618,1,1,54,53
EV2001,HCP100503,1,1,69,37
EV2001,HCP100406,1,0,0,0
EV2001,HCP102329,1,1,54,42
EV2001,HCP102422,1,1,70,47
EV2001,HCP101017,1,1,64,37
EV2001,HCP101287,1,1,68,54
EV2001,HCP100640,1,1,71,56
EV2001,HCP102248,1,1,73,76
EV2001,HCP101085,1,1,47,49
EV2001,HCP100799,1,0,0,0
EV2001,HCP102386,1,0,0,0
EV2001,HCP102234,1,0,0,0
EV2001,HCP101849,1,1,65,18
EV2001,HCP100496,1,1,68,72
EV2001,HCP100850,1,1,69,35
EV2001,HCP100497,1,1,65,43
EV2001,HCP101266,1,0,0,0
EV2001,HCP102009,1,1,68,54
EV2001,HCP100111,1,1,45,48
EV2001,HCP102328,1,1,58,20
EV2001,HCP101559,1,1,51,40
EV2001,HCP101591,1,1,70,36
EV2001,HCP100559,1,1,64,71
EV2001,HCP100152,1,1,69,55
EV2001,HCP100290,1,1,66,42
EV2001,HCP100657,1,1,53,27
EV2001,HCP101169,0,0,0,0
EV2001,HCP101416,0,0,0,0
EV2001,HCP100594,1,1,67,57
EV2001,HCP102300,1,1,65,75
EV2001,HCP101690,1,1,64,42
EV2001,HCP100810,1,1,71,33
EV2001,HCP100961,1,1,70,41
EV2001,HCP102341,1,1,51,11
EV2001,HCP101639,1,1,56,22
EV2001,HCP101823,1,1,52,31
EV2001,HCP101879,1,1,56,59
EV2002,HCP100344,1,1,110,41
EV2002,HCP100225,1,1,92,34
EV2002,HCP100017,1,0,0,0
EV2002,HCP100043,1,1,83,22
EV2002,HCP100560,1,0,0,0
EV2002,HCP101565,1,1,110,47
EV2002,HCP101585,1,1,87,57
EV2002,HCP101061,1,0,0,0
EV2002,HCP100296,0,0,0,0
EV2002,HCP101821,0,0,0,0
EV2002,HCP100428,1,0,0,0
EV2002,HCP101812,1,1,107,71
EV2002,HCP100010,1,1,87,20
EV2002,HCP102084,0,0,0,0
EV2002,HCP100400,1,0,0,0
EV2002,HCP101426,1,1,90,28
EV2002,HCP101579,0,0,0,0
EV2002,HCP100655,1,0,0,0
EV2002,HCP102280,0,0,0,0
EV2002,HCP101097,1,0,0,0
EV2002,HCP100546,1,1,100,62
EV2002,HCP101440,1,1,91,38
EV2002,HCP100889,0,0,0,0
EV2002,HCP102486,1,1,107,45
EV2002,HCP102147,1,0,0,0
EV2002,HCP101265,1,0,0,0
EV2002,HCP100770,1,0,0,0
EV2002,HCP102187,1,0,0,0
EV2002,HCP101943,1,1,110,48
EV2002,HCP101032,1,1,96,50
EV2003,HCP102186,1,1,75,55
EV2003,HCP100611,1,1,68,53
EV2003,HCP100915,1,1,72,68
EV2003,HCP102217,1,1,70,80
EV2003,HCP102488,1,1,55,86
EV2003,HCP101068,1,1,64,59
EV2003,HCP100019,1,1,60,74
EV2003,HCP100766,1,1,70,33
EV2003,HCP101874,1,1,62,30
EV2003,HCP101917,1,1,60,62
EV2003,HCP101268,1,1,49,40
EV2003,HCP101454,1,0,0,0
EV2003,HCP102358,1,1,62,39
EV2003,HCP102330,1,1,72,72
EV2003,HCP100880,1,1,58,32
EV2003,HCP100074,1,1,59,24
EV2003,HCP101794,1,1,62,61
EV2003,HCP102120,1,1,62,33
EV2003,HCP100289,1,0,0,0
EV2003,HCP102166,0,0,0,0
EV2003,HCP102025,1,1,55,66
EV2003,HCP102171,1,0,0,0
EV2003,HCP101841,1,0,0,0
EV2003,HCP100311,1,1,65,66
EV2003,HCP101599,1,1,68,36
EV2003,HCP100859,1,1,64,71
EV2003,HCP100048,0,0,0,0
EV2003,HCP102043,1,1,71,56
EV2003,HCP100818,1,1,56,53
EV2003,HCP100962,1,0,0,0
EV2003,HCP100544,0,0,0,0
EV2003,HCP100926,0,0,0,0
EV2003,HCP102405,0,0,0,0
EV2003,HCP101777,1,1,62,44
EV2003,HCP100195,0,0,0,0
EV2003,HCP101392,0,0,0,0
EV2003,HCP101933,1,1,64,52
EV2003,HCP100481,1,1,48,18
EV2003,HCP100164,1,1,50,30
EV2003,HCP102411,1,0,0,0
EV2003,HCP100556,1,1,72,58
EV2003,HCP101876,1,1,54,68
EV2003,HCP100466,0,0,0,0
EV2003,HCP102351,0,0,0,0
EV2003,HCP102366,1,1,53,64
EV2003,HCP101249,0,0,0,0
EV2003,HCP100577,1,1,65,48
EV2003,HCP102083,0,0,0,0
EV2003,HCP101201,1,0,0,0
EV2004,HCP101606,1,1,106,25
EV2004,HCP102126,1,0,0,0
EV2004,HCP102386,0,0,0,0
EV2004,HCP102213,1,0,0,0
EV2004,HCP101507,1,0,0,0
EV2004,HCP101089,1,0,0,0
EV2004,HCP100026,1,0,0,0
EV2004,HCP101709,1,1,73,43
EV2004,HCP102457,1,0,0,0
EV2004,HCP101982,1,0,0,0
EV2004,HCP102381,1,1,90,53
EV2004,HCP102202,1,0,0,0
EV2004,HCP101925,1,0,0,0
EV2004,HCP100934,1,1,101,57
EV2004,HCP100433,1,1,101,66
EV2004,HCP102429,1,0,0,0
EV2004,HCP100847,0,0,0,0
EV2004,HCP102355,1,1,86,59
EV2005,HCP102048,1,1,64,55
EV2005,HCP101325,1,0,0,0
EV2005,HCP101454,1,1,61,40
EV2005,HCP100986,1,1,52,45
EV2005,HCP102411,1,1,65,51
EV2005,HCP102456,1,1,46,21
EV2005,HCP100574,1,1,44,33
EV2005,HCP101267,1,0,0,0
EV2005,HCP100992,1,1,74,100
EV2005,HCP101090,0,0,0,0
EV2005,HCP101430,1,1,59,52
EV2005,HCP101019,1,0,0,0
EV2005,HCP102110,1,1,59,74
EV2005,HCP100537,0,0,0,0
EV2005,HCP101768,1,1,56,36
EV2005,HCP102002,1,1,61,50
EV2005,HCP101249,1,0,0,0
EV2005,HCP100313,1,1,56,31
EV2005,HCP100156,0,0,0,0
EV2005,HCP100519,1,1,67,30
EV2005,HCP100222,1,0,0,0
EV2005,HCP101420,1,1,76,64
EV2005,HCP102194,1,1,54,38
EV2005,HCP101503,0,0,0,0
EV2005,HCP100721,1,1,55,44
EV2005,HCP101708,1,1,70,10
EV2005,HCP101807,1,1,53,45
EV2005,HCP102016,1,0,0,0
EV2005,HCP101464,1,1,55,35
EV2005,HCP101395,1,0,0,0
EV2005,HCP101185,1,1,54,63
EV2005,HCP100495,1,0,0,0
EV2005,HCP102385,0,0,0,0
EV2005,HCP102374,0,0,0,0
EV2005,HCP101532,1,1,59,26
EV2005,HCP102481,1,1,72,24
EV2005,HCP100573,1,0,0,0
EV2005,HCP100211,1,1,61,41
EV2005,HCP100621,1,1,74,53
EV2005,HCP101887,1,1,52,59
EV2005,HCP101964,0,0,0,0
EV2005,HCP102377,1,1,44,44
EV2005,HCP100086,1,0,0,0
EV2005,HCP102476,1,1,69,70
EV2005,HCP102176,1,1,63,79
EV2005,HCP101692,1,1,75,57
EV2005,HCP100883,1,0,0,0
EV2005,HCP100178,1,1,43,8
EV2005,HCP100968,1,1,52,44
EV2005,HCP101321,1,1,59,63
EV2005,HCP101599,1,1,55,64
EV2005,HCP101581,1,1,48,44
EV2005,HCP101001,1,1,60,43
EV2006,HCP100032,1,1,71,73
EV2006,HCP100055,0,0,0,0
EV2006,HCP100999,1,1,76,54
EV2006,HCP101356,1,1,56,12
EV2006,HCP100126,1,0,0,0
EV2006,HCP102202,1,1,60,64
EV2006,HCP102179,0,0,0,0
EV2006,HCP100135,1,0,0,0
EV2006,HCP102375,1,1,71,35
EV2006,HCP100566,1,1,67,16
EV2006,HCP101285,1,0,0,0
EV2006,HCP100664,1,1,65,43
EV2006,HCP100922,1,0,0,0
EV2006,HCP101605,1,1,72,55
EV2006,HCP102336,1,1,56,46
EV2006,HCP101513,1,0,0,0
