event_id,hcp_id,invited_at,channel,eligible_reason
EV2001,HCP101718,2024-08-15,Phone,Product affinity
EV2001,HCP100908,2024-08-23,Email,Product affinity
EV2001,HCP101102,2024-07-10,Rep,Product affinity
EV2001,HCP102021,2024-07-17,Rep,Product affinity
EV2001,HCP100564,2024-07-28,Portal,Product affinity
EV2001,HCP101525,2024-08-05,Email,Combination of factors
EV2001,HCP102273,2024-08-19,Phone,Specialty match
EV2001,HCP102219,2024-08-10,Rep,Product affinity
EV2001,HCP100269,2024-07-30,Rep,Combination of factors
EV2001,HCP101326,2024-07-25,Portal,Product affinity
EV2001,HCP100104,2024-07-09,Rep,Product affinity
EV2001,HCP101321,2024-07-22,Rep,Patient-volume threshold
EV2001,HCP100914,2024-07-22,Rep,Product affinity
EV2001,HCP101894,2024-08-08,Email,Product affinity
EV2001,HCP101616,2024-08-16,Portal,Combination of factors
EV2001,HCP102407,2024-08-27,Phone,Product affinity
EV2001,HCP101565,2024-07-30,Email,Patient-volume threshold
EV2001,HCP100252,2024-08-10,Email,Product affinity
EV2001,HCP101583,2024-08-23,Email,Product affinity
EV2001,HCP100756,2024-08-16,Email,Combination of factors
EV2001,HCP100616,2024-07-12,Rep,Patient-volume threshold
EV2001,HCP100027,2024-08-07,Phone,Product affinity
EV2001,HCP101462,2024-08-01,Portal,Combination of factors
EV2001,HCP101642,2024-08-18,Email,Product affinity
EV2001,HCP102202,2024-07-08,Rep,Patient-volume threshold
EV2001,HCP101392,2024-08-03,Rep,Patient-volume threshold
EV2001,HCP102320,2024-08-25,Email,Product affinity
EV2001,HCP101448,2024-08-16,Email,Product affinity
EV2001,HCP102217,2024-08-02,Email,Product affinity
EV2001,HCP100757,2024-08-09,Rep,Patient-volume threshold
EV2001,HCP101146,2024-08-11,Email,Combination of factors
EV2001,HCP101419,2024-08-13,Email,Product affinity
EV2001,HCP101322,2024-08-04,Email,Combination of factors
EV2001,HCP100241,2024-07-27,Portal,Product affinity
EV2001,HCP100412,2024-08-01,Rep,Product affinity
EV2001,HCP102389,2024-08-07,Phone,Product affinity
EV2001,HCP101428,2024-08-10,Rep,Combination of factors
EV2001,HCP101346,2024-08-16,Portal,Product affinity
EV2001,HCP102424,2024-08-09,Email,Product affinity
EV2001,HCP102468,2024-08-09,Email,Product affinity
EV2001,HCP102363,2024-08-25,Phone,Patient-volume threshold
EV2001,HCP101624,2024-08-25,Phone,Combination of factors
EV2001,HCP101508,2024-07-13,Rep,Product affinity
EV2001,HCP100671,2024-08-06,Email,Product affinity
EV2001,HCP101984,2024-08-14,Email,Combination of factors
EV2001,HCP102433,2024-07-03,Rep,Product affinity
EV2001,HCP102403,2024-07-28,Email,Specialty match
EV2001,HCP102375,2024-08-22,Email,Patient-volume threshold
EV2001,HCP101317,2024-07-31,Email,Combination of factors
EV2001,HCP100839,2024-08-09,Email,Product affinity
EV2001,HCP101187,2024-07-29,Email,Combination of factors
EV2001,HCP100848,2024-07-18,Rep,Combination of factors
EV2001,HCP100947,2024-08-09,Email,Product affinity
EV2001,HCP101022,2024-08-23,Phone,Combination of factors
EV2001,HCP100690,2024-08-16,Portal,Combination of factors
EV2001,HCP101454,2024-07-28,Rep,Patient-volume threshold
EV2001,HCP102374,2024-08-14,Phone,Product affinity
EV2001,HCP101261,2024-08-24,Phone,Product affinity
EV2001,HCP100907,2024-08-12,Email,Combination of factors
EV2001,HCP100758,2024-08-09,Phone,Product affinity
EV2001,HCP101329,2024-08-07,Rep,Product affinity
EV2001,HCP100126,2024-08-06,Rep,Patient-volume threshold
EV2001,HCP101844,2024-08-11,Rep,Patient-volume threshold
EV2001,HCP100075,2024-08-20,Portal,Product affinity
EV2001,HCP100827,2024-08-13,Email,Product affinity
EV2001,HCP100462,2024-07-17,Rep,Product affinity
EV2001,HCP100639,2024-07-24,Rep,Patient-volume threshold
EV2001,HCP102336,2024-08-24,Email,Combination of factors
EV2001,HCP101032,2024-08-10,Email,Patient-volume threshold
EV2001,HCP102097,2024-07-22,Rep,Combination of factors
EV2001,HCP100222,2024-07-09,Rep,Product affinity
EV2001,HCP100088,2024-07-20,Rep,Combination of factors
EV2001,HCP100788,2024-08-10,Rep,Product affinity
EV2001,HCP101619,2024-08-01,Rep,Combination of factors
EV2001,HCP102138,2024-08-08,Rep,Combination of factors
EV2001,HCP100389,2024-08-04,Portal,Product affinity
EV2001,HCP102104,2024-07-19,Rep,Product affinity
EV2001,HCP100161,2024-07-09,Rep,Product affinity
EV2001,HCP101537,2024-08-03,Email,Patient-volume threshold
EV2001,HCP101643,2024-08-07,Email,Product affinity
EV2001,HCP101637,2024-08-23,Email,Patient-volume threshold
EV2001,HCP100965,2024-08-06,Rep,Combination of factors
EV2001,HCP100471,2024-08-16,Email,Combination of factors
EV2001,HCP101010,2024-08-19,Email,Product affinity
EV2001,HCP102355,2024-08-18,Email,Patient-volume threshold
EV2001,HCP101364,2024-07-16,Rep,Product affinity
EV2001,HCP102268,2024-08-13,Email,Combination of factors
EV2001,HCP102430,2024-08-26,Phone,Product affinity
EV2001,HCP100682,2024-07-26,Rep,Combination of factors
EV2001,HCP100943,2024-07-29,Portal,Product affinity
EV2001,HCP100284,2024-07-20,Rep,Product affinity
EV2001,HCP101296,2024-08-19,Portal,Patient-volume threshold
EV2001,HCP101137,2024-07-06,Rep,Product affinity
EV2001,HCP100588,2024-07-25,Portal,Combination of factors
EV2001,HCP102011,2024-08-18,Email,Patient-volume threshold
EV2001,HCP101277,2024-08-11,Email,Product affinity
EV2001,HCP101603,2024-08-07,Email,Specialty match
EV2001,HCP102397,2024-08-02,Rep,Product affinity
EV2001,HCP100785,2024-07-30,Email,Product affinity
EV2001,HCP101867,2024-08-20,Email,Product affinity
EV2001,HCP101742,2024-08-16,Email,Product affinity
EV2001,HCP102360,2024-07-25,Portal,Patient-volume threshold
EV2001,HCP101305,2024-07-13,Rep,Combination of factors
EV2001,HCP102061,2024-08-24,Email,Combination of factors
EV2001,HCP101730,2024-08-10,Rep,Product affinity
EV2001,HCP100342,2024-08-21,Phone,Combination of factors
EV2001,HCP102466,2024-08-13,Email,Patient-volume threshold
EV2001,HCP101090,2024-08-20,Portal,Product affinity
