event_id,date,topic,format,speaker,status
EV2001,2024-09-01,Type 2 Diabetes Intensification,Virtual,SPK-1210,Completed
EV2002,2024-09-02,Advanced Solid Tumor Therapy,In-person,SPK-1108,Completed
EV2003,2024-09-03,Neuroinflammation Update,Virtual,SPK-1300,Completed
EV2004,2024-09-05,Heart Failure Management,In-person,SPK-1000,Completed
EV2005,2024-09-07,Migraine Prophylaxis,Virtual,SPK-1310,Completed
EV2006,2024-09-09,Lipid Management & CV Risk,Virtual,SPK-1010,Completed
EV2007,2024-09-09,Migraine Prophylaxis,In-person,SPK-1306,Completed
EV2008,2024-09-10,Neuroinflammation Update,In-person,SPK-1303,Completed
EV2009,2024-09-15,Lipid Management & CV Risk,In-person,SPK-1000,Completed
EV2010,2024-09-15,Immuno-Oncology Sequencing,In-person,SPK-1102,Completed
EV2011,2024-09-16,Lipid Management & CV Risk,In-person,SPK-1005,Completed
EV2012,2024-09-20,Obesity & Metabolic Health,Virtual,SPK-1204,Completed
EV2013,2024-09-20,Neuroinflammation Update,In-person,SPK-1307,Cancelled
EV2014,2024-09-25,Lipid Management & CV Risk,In-person,SPK-1006,Completed
EV2015,2024-09-25,Neuroinflammation Update,In-person,SPK-1304,Completed
EV2016,2024-09-28,Neuroinflammation Update,In-person,SPK-1310,Completed
EV2017,2024-09-29,Neuroinflammation Update,Hybrid,SPK-1304,Completed
EV2018,2024-09-29,Immuno-Oncology Sequencing,In-person,SPK-1105,Completed
EV2019,2024-09-29,Type 2 Diabetes Intensification,Virtual,SPK-1210,Completed
EV2020,2024-09-30,Type 2 Diabetes Intensification,In-person,SPK-1204,Completed
EV2021,2024-10-01,Heart Failure Management,Hybrid,SPK-1003,Completed
EV2022,2024-10-03,Type 2 Diabetes Intensification,In-person,SPK-1205,Completed
EV2023,2024-10-06,Type 2 Diabetes Intensification,In-person,SPK-1203,Completed
EV2024,2024-10-07,Migraine Prophylaxis,Hybrid,SPK-1307,Completed
EV2025,2024-10-07,Heart Failure Management,In-person,SPK-1003,Completed
EV2026,2024-10-08,Obesity & Metabolic Health,Hybrid,SPK-1203,Completed
EV2027,2024-10-13,Immuno-Oncology Sequencing,In-person,SPK-1108,Completed
EV2028,2024-10-15,Immuno-Oncology Sequencing,Virtual,SPK-1100,Completed
EV2029,2024-10-16,Advanced Solid Tumor Therapy,Virtual,SPK-1105,Completed
EV2030,2024-10-18,Advanced Solid Tumor Therapy,In-person,SPK-1105,Completed
EV2031,2024-10-25,Migraine Prophylaxis,Virtual,SPK-1304,Completed
EV2032,2024-10-26,Neuroinflammation Update,Virtual,SPK-1309,Completed
EV2033,2024-10-27,Lipid Management & CV Risk,Virtual,SPK-1009,Completed
EV2034,2024-10-29,Heart Failure Management,Virtual,SPK-1008,Completed
EV2035,2024-10-30,Obesity & Metabolic Health,Virtual,SPK-1210,Completed
EV2036,2024-11-04,Lipid Management & CV Risk,Hybrid,SPK-1003,Completed
EV2037,2024-11-04,Obesity & Metabolic Health,In-person,SPK-1203,Completed
EV2038,2024-11-06,Obesity & Metabolic Health,Hybrid,SPK-1201,Completed
EV2039,2024-11-06,Migraine Prophylaxis,Hybrid,SPK-1306,Completed
EV2040,2024-11-19,Immuno-Oncology Sequencing,Hybrid,SPK-1106,Completed
EV2041,2024-11-21,Obesity & Metabolic Health,In-person,SPK-1210,Completed
EV2042,2024-11-21,Type 2 Diabetes Intensification,Virtual,SPK-1209,Completed
EV2043,2024-11-22,Obesity & Metabolic Health,Hybrid,SPK-1207,Completed
EV2044,2024-11-22,Heart Failure Management,In-person,SPK-1000,Completed
EV2045,2024-11-30,Neuroinflammation Update,In-person,SPK-1309,Completed
EV2046,2024-12-01,Obesity & Metabolic Health,In-person,SPK-1204,Completed
EV2047,2024-12-10,Neuroinflammation Update,Hybrid,SPK-1310,Completed
EV2048,2024-12-11,Type 2 Diabetes Intensification,Hybrid,SPK-1200,Completed
EV2049,2024-12-17,Heart Failure Management,In-person,SPK-1004,Completed
EV2050,2024-12-18,Lipid Management & CV Risk,In-person,SPK-1003,Completed
EV2051,2024-12-22,Advanced Solid Tumor Therapy,In-person,SPK-1102,Completed
EV2052,2024-12-26,Type 2 Diabetes Intensification,Virtual,SPK-1202,Completed
EV2053,2025-01-05,Type 2 Diabetes Intensification,Virtual,SPK-1205,Cancelled
EV2054,2025-01-09,Advanced Solid Tumor Therapy,In-person,SPK-1108,Completed
EV2055,2025-01-09,Obesity & Metabolic Health,Virtual,SPK-1205,Completed
EV2056,2025-01-09,Neuroinflammation Update,In-person,SPK-1304,Completed
EV2057,2025-01-12,Advanced Solid Tumor Therapy,In-person,SPK-1109,Completed
EV2058,2025-01-13,Immuno-Oncology Sequencing,Virtual,SPK-1108,Completed
EV2059,2025-01-13,Lipid Management & CV Risk,Virtual,SPK-1002,Completed
EV2060,2025-01-14,Advanced Solid Tumor Therapy,Hybrid,SPK-1109,Completed
EV2061,2025-01-14,Immuno-Oncology Sequencing,Virtual,SPK-1104,Completed
EV2062,2025-01-15,Immuno-Oncology Sequencing,Virtual,SPK-1107,Completed
EV2063,2025-01-23,Type 2 Diabetes Intensification,In-person,SPK-1202,Completed
EV2064,2025-01-23,Migraine Prophylaxis,Virtual,SPK-1305,Completed
EV2065,2025-01-24,Heart Failure Management,Hybrid,SPK-1004,Completed
EV2066,2025-01-28,Advanced Solid Tumor Therapy,In-person,SPK-1104,Completed
EV2067,2025-01-28,Advanced Solid Tumor Therapy,Hybrid,SPK-1102,Completed
EV2068,2025-01-30,Type 2 Diabetes Intensification,Hybrid,SPK-1205,Completed
EV2069,2025-02-01,Lipid Management & CV Risk,Virtual,SPK-1005,Completed
EV2070,2025-02-01,Neuroinflammation Update,In-person,SPK-1306,Completed
