event_id,hcp_id,true_event_effect_nrx,true_event_effect_trx
EV2001,HCP100088,2.8085,4.9467
EV2001,HCP100104,4.4792,8.506
EV2001,HCP100111,6.7091,19.7356
EV2001,HCP100152,1.4826,3.9422
EV2001,HCP100241,3.5213,9.0685
EV2001,HCP100290,-1.2856,-3.0346
EV2001,HCP100337,-0.8926,-2.4215
EV2001,HCP100412,2.1737,4.2334
EV2001,HCP100444,-0.2239,-0.631
EV2001,HCP100496,-1.2165,-3.2029
EV2001,HCP100497,7.4112,14.0133
EV2001,HCP100503,1.762,4.3537
EV2001,HCP100559,8.3764,16.4279
EV2001,HCP100594,-0.0802,-0.16
EV2001,HCP100616,-3.6891,-8.5518
EV2001,HCP100639,9.5125,22.0565
EV2001,HCP100640,0.0916,0.2172
EV2001,HCP100657,-0.6514,-1.1177
EV2001,HCP100810,0.2944,0.7292
EV2001,HCP100824,1.0013,2.2161
EV2001,HCP100827,-1.5652,-3.9838
EV2001,HCP100839,-3.9798,-8.853
EV2001,HCP100850,-0.7533,-1.4898
EV2001,HCP100908,6.4994,21.6273
EV2001,HCP100947,-3.4953,-8.3651
EV2001,HCP100961,0.7044,1.2854
EV2001,HCP100990,-1.4065,-4.7045
EV2001,HCP101017,0.4421,0.8675
EV2001,HCP101085,10.8766,20.8615
EV2001,HCP101137,2.9629,6.831
EV2001,HCP101261,1.9612,3.36
EV2001,HCP101287,-0.2503,-0.4011
EV2001,HCP101317,-1.9876,-4.3717
EV2001,HCP101322,0.173,0.3838
EV2001,HCP101329,1.6907,3.6549
EV2001,HCP101364,-0.274,-0.5198
EV2001,HCP101419,-2.1142,-5.2381
EV2001,HCP101428,0.3659,0.7002
EV2001,HCP101448,1.001,1.8896
EV2001,HCP101494,0.7194,1.3157
EV2001,HCP101508,-5.8963,-13.9762
EV2001,HCP101527,-0.4374,-0.9912
EV2001,HCP101537,0.1254,0.2749
EV2001,HCP101559,8.0857,24.9386
EV2001,HCP101591,0.1087,0.2627
EV2001,HCP101603,-0.2215,-0.4516
EV2001,HCP101618,1.7014,4.3013
EV2001,HCP101624,2.041,4.0702
EV2001,HCP101637,0.9452,3.0878
EV2001,HCP101639,-0.0196,-0.0467
EV2001,HCP101642,1.3769,3.8665
EV2001,HCP101643,0.2632,0.4585
EV2001,HCP101690,0.2906,0.8147
EV2001,HCP101718,0.7231,1.4656
EV2001,HCP101730,0.5738,1.4343
EV2001,HCP101736,0.0986,0.2394
EV2001,HCP101742,0.4573,0.9843
EV2001,HCP101823,0.0942,0.2723
EV2001,HCP101844,0.8229,1.559
EV2001,HCP101849,0.2303,0.5621
EV2001,HCP101879,0.2275,0.4685
EV2001,HCP101984,-3.1572,-7.8824
EV2001,HCP102009,1.0875,2.7063
EV2001,HCP102021,-1.7844,-5.4338
EV2001,HCP102061,1.1948,2.5117
EV2001,HCP102138,0.4992,1.1155
EV2001,HCP102219,-0.1384,-0.3381
EV2001,HCP102248,-0.7838,-1.4876
EV2001,HCP102273,0.5439,1.0447
EV2001,HCP102300,0.5921,1.267
EV2001,HCP102328,-0.2677,-0.4758
EV2001,HCP102329,2.1105,4.1984
EV2001,HCP102341,0.6821,1.332
EV2001,HCP102389,-2.4615,-4.1261
EV2001,HCP102422,0.7958,1.9487
EV2001,HCP102448,3.645,8.4099
EV2001,HCP102468,0.4993,0.9304
EV2002,HCP100010,0.7401,1.3376
EV2002,HCP100043,0.4534,0.9514
EV2002,HCP100225,2.1029,5.2758
EV2002,HCP100344,13.3281,26.6593
EV2002,HCP100546,0.6754,1.9085
EV2002,HCP101032,5.171,12.7852
EV2002,HCP101426,4.1121,8.823
EV2002,HCP101440,4.3753,8.5644
EV2002,HCP101565,2.5246,5.4066
EV2002,HCP101585,2.4722,5.1742
EV2002,HCP101812,5.6652,11.8393
EV2002,HCP101943,2.52,5.3023
EV2002,HCP102486,0.2066,0.628
EV2003,HCP100019,0.4112,0.8801
EV2003,HCP100074,7.074,16.6405
EV2003,HCP100164,2.231,6.4597
EV2003,HCP100311,12.8797,35.895
EV2003,HCP100481,4.6172,9.015
EV2003,HCP100556,2.5097,7.8816
EV2003,HCP100577,1.2636,2.5945
EV2003,HCP100611,1.9025,3.7441
EV2003,HCP100766,2.2544,3.9383
EV2003,HCP100818,1.7595,3.7596
EV2003,HCP100859,13.8274,37.5266
EV2003,HCP100880,1.5017,3.1478
EV2003,HCP100915,5.9727,16.4085
EV2003,HCP101068,0.632,1.8131
EV2003,HCP101268,8.6589,19.7893
EV2003,HCP101599,6.0891,12.204
EV2003,HCP101777,9.8301,18.2067
EV2003,HCP101794,3.829,8.7238
EV2003,HCP101874,1.3531,3.8642
EV2003,HCP101876,10.5636,29.4913
EV2003,HCP101917,15.0761,37.8422
EV2003,HCP101933,1.0939,2.9694
EV2003,HCP102025,0.7314,1.3067
EV2003,HCP102043,2.8363,6.12
EV2003,HCP102120,1.0456,1.9804
EV2003,HCP102186,10.3687,19.6913
EV2003,HCP102217,7.11,17.4107
EV2003,HCP102330,22.7126,55.1817
EV2003,HCP102358,9.4356,20.8281
EV2003,HCP102366,6.7816,12.6553
EV2003,HCP102488,11.7295,23.3178
EV2004,HCP100433,3.9258,14.1977
EV2004,HCP100934,16.2325,30.0657
EV2004,HCP101606,26.5054,73.2419
EV2004,HCP101709,3.0573,6.5813
EV2004,HCP102355,21.432,69.6317
EV2004,HCP102381,14.0586,24.4746
EV2005,HCP100178,0.6673,1.4
EV2005,HCP100211,1.2056,2.3492
EV2005,HCP100313,1.4186,3.0665
EV2005,HCP100519,1.9193,4.6108
EV2005,HCP100574,0.8635,1.6477
EV2005,HCP100621,3.677,6.8302
EV2005,HCP100721,1.9741,4.5693
EV2005,HCP100968,3.3242,6.0595
EV2005,HCP100986,0.4708,1.2666
EV2005,HCP100992,4.3487,8.6949
EV2005,HCP101001,0.6999,1.5482
EV2005,HCP101185,3.9577,10.68
EV2005,HCP101321,-1.6657,-4.4096
EV2005,HCP101420,3.7934,11.0664
