master_hcp_id,crm_hcp_id,event_hcp_id,rx_vendor_hcp_id,match_status
HCP100001,CRM-5816497,EVT07149721,RXV_9548413X,verified
HCP100002,CRM-9204274,EVT08629844,RXV_6720420X,verified
HCP100003,CRM-2232627,EVT06731668,RXV_9083885X,verified
HCP100004,CRM-2915005,EVT03787721,RXV_6205647X,verified
HCP100005,CRM-1462676,EVT09038610,RXV_6439543X,verified
HCP100006,CRM-1170582,EVT02707258,RXV_5827014X,verified
HCP100007,CRM-6831462,EVT01079234,RXV_2118563X,verified
HCP100008,CRM-1611404,EVT01139904,RXV_9932222X,verified
HCP100009,CRM-9935865,EVT09886979,RXV_7292553X,verified
HCP100010,CRM-8926765,EVT01352812,RXV_8137499X,verified
HCP100011,CRM-2324106,EVT07433694,RXV_5215512X,verified
HCP100012,CRM-3855754,EVT07849393,RXV_8995737X,verified
HCP100013,CRM-9829904,EVT02001048,RXV_9449934X,verified
HCP100014,CRM-6664720,EVT06849010,RXV_5149374X,verified
HCP100015,CRM-2817664,EVT09487650,RXV_5267279X,verified
HCP100016,CRM-8271567,EVT06972621,RXV_5919698X,verified
HCP100017,CRM-8948491,EVT08468766,RXV_7942148X,verified
HCP100018,CRM-4284440,EVT08227971,RXV_2125389X,verified
HCP100019,CRM-9236354,EVT09685753,RXV_7626250X,verified
HCP100020,CRM-7876978,EVT03387708,RXV_5397255X,verified
HCP100021,CRM-5211302,EVT04931617,RXV_3164696X,verified
HCP100022,CRM-5226633,EVT01069865,RXV_6565488X,verified
HCP100023,CRM-7873954,EVT06026544,RXV_2561168X,verified
HCP100024,CRM-7705777,EVT02445842,RXV_9345685X,verified
HCP100025,CRM-6472942,EVT02197819,,review
HCP100026,CRM-7556997,,RXV_5092436X,review
HCP100027,CRM-2385776,EVT07435269,RXV_9993334X,verified
HCP100028,CRM-7957400,EVT01442011,RXV_7622923X,verified
HCP100029,CRM-5616246,EVT01150438,RXV_5202144X,verified
HCP100030,CRM-3539209,EVT01118782,RXV_8148726X,verified
HCP100031,CRM-3143934,EVT07166862,RXV_9443257X,verified
HCP100032,CRM-8974476,EVT06264747,RXV_7845077X,verified
HCP100033,CRM-3488408,EVT03150120,RXV_4354106X,verified
HCP100034,CRM-7165459,EVT01562474,RXV_1735057X,verified
HCP100035,CRM-4300666,EVT04320755,RXV_2519613X,verified
HCP100036,CRM-2193907,EVT02131427,RXV_6597561X,verified
HCP100037,CRM-8965862,,RXV_9543205X,review
HCP100038,CRM-6983773,EVT08595650,RXV_9351821X,verified
