hcp_id,date,rep_calls,emails,samples,other_events
HCP100001,2024-01-01,4,4,9,0
HCP100001,2024-02-01,2,3,3,0
HCP100001,2024-03-01,3,2,6,0
HCP100001,2024-04-01,4,3,4,0
HCP100001,2024-05-01,3,3,6,0
HCP100001,2024-06-01,2,4,1,0
HCP100001,2024-07-01,1,8,2,0
HCP100001,2024-08-01,1,2,1,0
HCP100001,2024-09-01,0,8,0,1
HCP100001,2024-10-01,5,4,6,1
HCP100001,2024-11-01,4,4,5,2
HCP100001,2024-12-01,2,4,5,1
HCP100001,2025-01-01,1,1,0,1
HCP100001,2025-02-01,3,4,4,1
HCP100001,2025-03-01,6,4,9,0
HCP100001,2025-04-01,2,5,2,0
HCP100001,2025-05-01,5,4,5,0
HCP100001,2025-06-01,3,4,3,0
HCP100001,2025-07-01,0,3,0,0
HCP100001,2025-08-01,3,3,3,0
HCP100001,2025-09-01,4,2,3,0
HCP100001,2025-10-01,0,4,0,1
HCP100001,2025-11-01,1,5,2,0
HCP100001,2025-12-01,4,5,4,0
HCP100001,2026-01-01,3,5,6,2
HCP100001,2026-02-01,4,2,5,0
HCP100001,2026-03-01,4,3,6,0
HCP100001,2026-04-01,3,2,5,0
HCP100001,2026-05-01,3,6,1,0
HCP100001,2026-06-01,4,5,4,1
HCP100001,2026-07-01,3,5,5,0
HCP100001,2026-08-01,5,2,6,0
HCP100002,2024-01-01,2,6,2,0
HCP100002,2024-02-01,0,3,0,0
HCP100002,2024-03-01,2,5,2,0
HCP100002,2024-04-01,4,5,6,0
HCP100002,2024-05-01,1,5,1,1
HCP100002,2024-06-01,0,3,0,0
HCP100002,2024-07-01,7,4,8,1
HCP100002,2024-08-01,2,4,1,1
HCP100002,2024-09-01,2,1,0,0
HCP100002,2024-10-01,1,6,0,0
HCP100002,2024-11-01,0,3,0,1
HCP100002,2024-12-01,4,1,9,0
HCP100002,2025-01-01,3,3,4,0
HCP100002,2025-02-01,1,6,1,0
HCP100002,2025-03-01,5,5,11,1
HCP100002,2025-04-01,2,3,2,1
HCP100002,2025-05-01,5,2,6,0
HCP100002,2025-06-01,3,5,6,0
HCP100002,2025-07-01,1,2,0,0
HCP100002,2025-08-01,4,2,5,0
HCP100002,2025-09-01,2,6,2,0
HCP100002,2025-10-01,1,5,1,0
HCP100002,2025-11-01,1,3,1,0
HCP100002,2025-12-01,0,4,0,0
HCP100002,2026-01-01,4,2,4,3
HCP100002,2026-02-01,2,5,3,0
HCP100002,2026-03-01,3,8,4,1
HCP100002,2026-04-01,2,4,2,0
HCP100002,2026-05-01,5,4,7,0
HCP100002,2026-06-01,5,4,8,0
HCP100002,2026-07-01,2,3,2,0
HCP100002,2026-08-01,2,2,1,0
HCP100003,2024-01-01,0,6,0,0
HCP100003,2024-02-01,0,6,0,0
HCP100003,2024-03-01,2,3,6,0
HCP100003,2024-04-01,1,4,2,1
HCP100003,2024-05-01,2,4,2,1
HCP100003,2024-06-01,2,3,1,0
HCP100003,2024-07-01,0,3,0,0
HCP100003,2024-08-01,0,5,0,0
HCP100003,2024-09-01,1,2,2,0
HCP100003,2024-10-01,2,4,1,1
HCP100003,2024-11-01,0,5,0,0
HCP100003,2024-12-01,0,7,0,0
HCP100003,2025-01-01,1,3,3,2
HCP100003,2025-02-01,1,1,4,0
HCP100003,2025-03-01,1,5,2,1
HCP100003,2025-04-01,1,1,1,0
HCP100003,2025-05-01,1,2,1,0
HCP100003,2025-06-01,1,3,1,2
HCP100003,2025-07-01,0,5,0,0
HCP100003,2025-08-01,1,4,1,0
HCP100003,2025-09-01,2,6,4,1
HCP100003,2025-10-01,1,7,0,0
HCP100003,2025-11-01,1,5,2,0
HCP100003,2025-12-01,2,4,5,1
HCP100003,2026-01-01,2,2,2,0
HCP100003,2026-02-01,1,2,2,1
HCP100003,2026-03-01,1,1,1,0
HCP100003,2026-04-01,0,3,0,0
HCP100003,2026-05-01,1,7,1,0
HCP100003,2026-06-01,1,3,1,0
HCP100003,2026-07-01,2,3,5,0
HCP100003,2026-08-01,0,2,0,0
HCP100004,2024-01-01,1,2,4,0
HCP100004,2024-02-01,0,8,0,0
HCP100004,2024-03-01,3,3,8,0
HCP100004,2024-04-01,0,8,0,1
HCP100004,2024-05-01,2,2,0,0
HCP100004,2024-06-01,1,3,0,0
HCP100004,2024-07-01,2,2,4,0
HCP100004,2024-08-01,1,5,1,0
HCP100004,2024-09-01,3,2,6,2
HCP100004,2024-10-01,1,1,0,0
HCP100004,2024-11-01,2,4,2,1
HCP100004,2024-12-01,1,5,2,0
HCP100004,2025-01-01,2,4,4,0
HCP100004,2025-02-01,1,7,2,0
HCP100004,2025-03-01,2,3,3,0
HCP100004,2025-04-01,6,3,3,0
HCP100004,2025-05-01,3,3,2,1
HCP100004,2025-06-01,0,3,0,0
HCP100004,2025-07-01,2,3,1,2
HCP100004,2025-08-01,1,3,2,0
HCP100004,2025-09-01,0,1,0,1
HCP100004,2025-10-01,2,2,6,1
HCP100004,2025-11-01,1,0,1,0
HCP100004,2025-12-01,3,3,10,0
HCP100004,2026-01-01,2,5,1,0
HCP100004,2026-02-01,2,6,3,0
HCP100004,2026-03-01,2,7,1,1
HCP100004,2026-04-01,2,7,3,0
HCP100004,2026-05-01,1,5,1,1
HCP100004,2026-06-01,1,7,1,0
HCP100004,2026-07-01,0,6,0,0
HCP100004,2026-08-01,2,3,3,0
HCP100005,2024-01-01,0,4,0,0
HCP100005,2024-02-01,1,1,1,1
HCP100005,2024-03-01,0,4,0,0
HCP100005,2024-04-01,1,4,2,0
HCP100005,2024-05-01,1,6,3,0
HCP100005,2024-06-01,0,1,0,0
HCP100005,2024-07-01,0,4,0,0
HCP100005,2024-08-01,3,6,5,1
HCP100005,2024-09-01,1,3,1,1
HCP100005,2024-10-01,1,4,2,0
HCP100005,2024-11-01,0,4,0,0
HCP100005,2024-12-01,0,8,0,1
HCP100005,2025-01-01,1,5,0,0
HCP100005,2025-02-01,0,4,0,0
HCP100005,2025-03-01,0,10,0,0
HCP100005,2025-04-01,3,2,7,0
HCP100005,2025-05-01,0,3,0,0
HCP100005,2025-06-01,1,6,1,0
HCP100005,2025-07-01,1,3,2,0
HCP100005,2025-08-01,1,6,2,0
HCP100005,2025-09-01,1,6,0,0
HCP100005,2025-10-01,0,3,0,0
HCP100005,2025-11-01,1,4,2,0
HCP100005,2025-12-01,1,4,2,1
HCP100005,2026-01-01,1,5,2,0
HCP100005,2026-02-01,0,3,0,1
HCP100005,2026-03-01,1,5,1,2
HCP100005,2026-04-01,0,6,0,0
HCP100005,2026-05-01,0,2,0,1
HCP100005,2026-06-01,1,3,4,0
HCP100005,2026-07-01,0,1,0,0
HCP100005,2026-08-01,0,3,0,1
HCP100006,2024-01-01,1,7,1,1
HCP100006,2024-02-01,1,9,1,0
HCP100006,2024-03-01,1,6,1,0
HCP100006,2024-04-01,0,7,0,0
HCP100006,2024-05-01,2,7,4,0
HCP100006,2024-06-01,0,4,0,0
HCP100006,2024-07-01,1,6,2,0
HCP100006,2024-08-01,0,4,0,1
HCP100006,2024-09-01,0,9,0,0
HCP100006,2024-10-01,0,8,0,0
