event_id,event_date,treatment,control_candidate,excluded,total_invited
EV2001,2024-09-01,54,129,22,205
EV2002,2024-09-02,9,73,13,95
EV2003,2024-09-03,23,73,12,108
EV2004,2024-09-05,5,36,3,44
EV2005,2024-09-07,27,85,16,128
EV2006,2024-09-09,15,40,7,62
EV2007,2024-09-09,16,70,12,98
EV2008,2024-09-10,4,30,2,36
EV2009,2024-09-15,10,67,1,78
EV2010,2024-09-15,13,66,11,90
EV2011,2024-09-16,7,50,1,58
EV2012,2024-09-20,23,59,12,94
EV2014,2024-09-25,6,47,3,56
EV2015,2024-09-25,6,58,9,73
EV2016,2024-09-28,7,74,8,89
EV2017,2024-09-29,4,42,5,51
EV2018,2024-09-29,5,23,0,28
EV2019,2024-09-29,19,60,9,88
EV2020,2024-09-30,11,80,5,96
EV2021,2024-10-01,10,46,3,59
EV2022,2024-10-03,6,63,3,72
EV2023,2024-10-06,11,71,5,87
EV2024,2024-10-07,18,105,8,131
EV2025,2024-10-07,12,65,3,80
EV2026,2024-10-08,13,54,12,79
EV2027,2024-10-13,23,106,15,144
EV2028,2024-10-15,29,68,16,113
EV2029,2024-10-16,13,52,19,84
EV2030,2024-10-18,4,51,12,67
EV2031,2024-10-25,13,42,7,62
EV2032,2024-10-26,4,29,8,41
EV2033,2024-10-27,27,87,9,123
EV2034,2024-10-29,34,98,13,145
EV2035,2024-10-30,25,66,8,99
EV2036,2024-11-04,11,30,4,45
EV2037,2024-11-04,11,117,6,134
EV2038,2024-11-06,18,91,12,121
EV2039,2024-11-06,34,157,32,223
EV2040,2024-11-19,9,28,8,45
EV2041,2024-11-21,8,86,12,106
EV2042,2024-11-21,14,61,7,82
EV2043,2024-11-22,13,44,5,62
EV2044,2024-11-22,13,87,11,111
EV2045,2024-11-30,3,76,6,85
EV2046,2024-12-01,6,44,2,52
EV2047,2024-12-10,11,71,11,93
EV2048,2024-12-11,26,116,14,156
EV2049,2024-12-17,2,39,6,47
EV2050,2024-12-18,7,49,8,64
EV2051,2024-12-22,12,61,14,87
EV2052,2024-12-26,17,62,7,86
EV2054,2025-01-09,8,49,15,72
EV2055,2025-01-09,35,75,12,122
EV2056,2025-01-09,12,147,18,177
EV2057,2025-01-12,5,92,24,121
EV2058,2025-01-13,16,54,18,88
