master_hcp_id,event_id,event_date,group,exclusion_reason,contaminated
HCP101508,EV2001,2024-09-01,excluded,contaminated_overlapping_exposure,True
HCP100462,EV2001,2024-09-01,control_candidate,,False
HCP102475,EV2001,2024-09-01,control_candidate,,False
HCP101519,EV2001,2024-09-01,control_candidate,,False
HCP100295,EV2001,2024-09-01,control_candidate,,False
HCP100799,EV2001,2024-09-01,control_candidate,,False
HCP101984,EV2001,2024-09-01,excluded,contaminated_overlapping_exposure,True
HCP101559,EV2001,2024-09-01,treatment,,False
HCP101643,EV2001,2024-09-01,treatment,,False
HCP101305,EV2001,2024-09-01,control_candidate,,False
HCP101648,EV2001,2024-09-01,control_candidate,,False
HCP102484,EV2001,2024-09-01,control_candidate,,False
HCP100758,EV2001,2024-09-01,control_candidate,,False
HCP100471,EV2001,2024-09-01,control_candidate,,False
HCP102363,EV2001,2024-09-01,control_candidate,,False
HCP102234,EV2001,2024-09-01,control_candidate,,False
HCP102217,EV2001,2024-09-01,control_candidate,,False
HCP101572,EV2001,2024-09-01,control_candidate,,False
HCP102300,EV2001,2024-09-01,treatment,,False
HCP101978,EV2001,2024-09-01,control_candidate,,False
HCP100923,EV2001,2024-09-01,control_candidate,,False
HCP100496,EV2001,2024-09-01,excluded,contaminated_overlapping_exposure,True
HCP100088,EV2001,2024-09-01,treatment,,False
HCP100990,EV2001,2024-09-01,treatment,,False
HCP101669,EV2001,2024-09-01,control_candidate,,False
HCP102307,EV2001,2024-09-01,control_candidate,,False
HCP102360,EV2001,2024-09-01,control_candidate,,False
HCP100444,EV2001,2024-09-01,treatment,,False
HCP101277,EV2001,2024-09-01,control_candidate,,False
HCP101416,EV2001,2024-09-01,excluded,insufficient_pre_event_rx_history,False
HCP100209,EV2001,2024-09-01,control_candidate,,False
HCP100064,EV2001,2024-09-01,control_candidate,,False
HCP100760,EV2001,2024-09-01,control_candidate,,False
HCP100353,EV2001,2024-09-01,control_candidate,,False
HCP102336,EV2001,2024-09-01,control_candidate,,False
HCP102009,EV2001,2024-09-01,treatment,,False
HCP102097,EV2001,2024-09-01,excluded,insufficient_pre_event_rx_history,False
HCP101169,EV2001,2024-09-01,control_candidate,,False
HCP101742,EV2001,2024-09-01,excluded,contaminated_overlapping_exposure,True
HCP102219,EV2001,2024-09-01,excluded,contaminated_overlapping_exposure,True
HCP101618,EV2001,2024-09-01,treatment,,False
HCP101639,EV2001,2024-09-01,treatment,,False
HCP100152,EV2001,2024-09-01,treatment,,False
HCP102239,EV2001,2024-09-01,control_candidate,,False
HCP101565,EV2001,2024-09-01,excluded,insufficient_pre_event_rx_history,False
HCP100839,EV2001,2024-09-01,excluded,contaminated_overlapping_exposure,True
HCP101364,EV2001,2024-09-01,excluded,contaminated_overlapping_exposure,True
HCP101428,EV2001,2024-09-01,excluded,contaminated_overlapping_exposure,True
HCP102280,EV2001,2024-09-01,control_candidate,,False
HCP101187,EV2001,2024-09-01,control_candidate,,False
HCP100907,EV2001,2024-09-01,control_candidate,,False
HCP100601,EV2001,2024-09-01,control_candidate,,False
HCP100640,EV2001,2024-09-01,treatment,,False
HCP100710,EV2001,2024-09-01,control_candidate,,False
HCP100664,EV2001,2024-09-01,control_candidate,,False
HCP101664,EV2001,2024-09-01,control_candidate,,False
HCP102140,EV2001,2024-09-01,control_candidate,,False
HCP101835,EV2001,2024-09-01,control_candidate,,False
HCP100412,EV2001,2024-09-01,treatment,,False
HCP100389,EV2001,2024-09-01,control_candidate,,False
HCP100241,EV2001,2024-09-01,excluded,contaminated_overlapping_exposure,True
HCP102424,EV2001,2024-09-01,control_candidate,,False
HCP101591,EV2001,2024-09-01,treatment,,False
HCP100810,EV2001,2024-09-01,treatment,,False
HCP101271,EV2001,2024-09-01,control_candidate,,False
HCP101844,EV2001,2024-09-01,treatment,,False
HCP100126,EV2001,2024-09-01,control_candidate,,False
HCP100914,EV2001,2024-09-01,control_candidate,,False
HCP101867,EV2001,2024-09-01,control_candidate,,False
HCP100657,EV2001,2024-09-01,treatment,,False
HCP101823,EV2001,2024-09-01,treatment,,False
HCP102285,EV2001,2024-09-01,control_candidate,,False
HCP100363,EV2001,2024-09-01,control_candidate,,False
HCP101010,EV2001,2024-09-01,control_candidate,,False
HCP101718,EV2001,2024-09-01,treatment,,False
HCP100342,EV2001,2024-09-01,control_candidate,,False
HCP102443,EV2001,2024-09-01,control_candidate,,False
HCP102403,EV2001,2024-09-01,control_candidate,,False
HCP101181,EV2001,2024-09-01,control_candidate,,False
HCP100756,EV2001,2024-09-01,control_candidate,,False
HCP102104,EV2001,2024-09-01,control_candidate,,False
HCP100269,EV2001,2024-09-01,control_candidate,,False
HCP101939,EV2001,2024-09-01,control_candidate,,False
HCP102398,EV2001,2024-09-01,control_candidate,,False
HCP100121,EV2001,2024-09-01,control_candidate,,False
HCP100827,EV2001,2024-09-01,excluded,contaminated_overlapping_exposure,True
HCP102011,EV2001,2024-09-01,control_candidate,,False
HCP101419,EV2001,2024-09-01,treatment,,False
HCP100559,EV2001,2024-09-01,treatment,,False
HCP102109,EV2001,2024-09-01,control_candidate,,False
HCP100375,EV2001,2024-09-01,control_candidate,,False
HCP100961,EV2001,2024-09-01,treatment,,False
HCP100671,EV2001,2024-09-01,control_candidate,,False
HCP100848,EV2001,2024-09-01,control_candidate,,False
HCP100588,EV2001,2024-09-01,control_candidate,,False
HCP100180,EV2001,2024-09-01,control_candidate,,False
HCP100087,EV2001,2024-09-01,control_candidate,,False
HCP100639,EV2001,2024-09-01,treatment,,False
HCP102268,EV2001,2024-09-01,control_candidate,,False
HCP100284,EV2001,2024-09-01,control_candidate,,False
HCP100850,EV2001,2024-09-01,treatment,,False
HCP102156,EV2001,2024-09-01,control_candidate,,False
HCP101894,EV2001,2024-09-01,control_candidate,,False
HCP101317,EV2001,2024-09-01,excluded,contaminated_overlapping_exposure,True
HCP102273,EV2001,2024-09-01,treatment,,False
HCP101995,EV2001,2024-09-01,control_candidate,,False
HCP100817,EV2001,2024-09-01,control_candidate,,False
HCP102389,EV2001,2024-09-01,treatment,,False
HCP101146,EV2001,2024-09-01,control_candidate,,False
HCP101322,EV2001,2024-09-01,treatment,,False
HCP100290,EV2001,2024-09-01,excluded,contaminated_overlapping_exposure,True
HCP102253,EV2001,2024-09-01,control_candidate,,False
HCP101392,EV2001,2024-09-01,control_candidate,,False
HCP100802,EV2001,2024-09-01,control_candidate,,False
HCP101583,EV2001,2024-09-01,control_candidate,,False
HCP102328,EV2001,2024-09-01,treatment,,False
HCP101102,EV2001,2024-09-01,control_candidate,,False
HCP102341,EV2001,2024-09-01,treatment,,False
HCP100616,EV2001,2024-09-01,excluded,contaminated_overlapping_exposure,True
HCP102375,EV2001,2024-09-01,control_candidate,,False
HCP100222,EV2001,2024-09-01,control_candidate,,False
HCP100358,EV2001,2024-09-01,control_candidate,,False
HCP100382,EV2001,2024-09-01,control_candidate,,False
HCP101454,EV2001,2024-09-01,control_candidate,,False
HCP101619,EV2001,2024-09-01,control_candidate,,False
HCP100503,EV2001,2024-09-01,treatment,,False
HCP101287,EV2001,2024-09-01,treatment,,False
HCP101879,EV2001,2024-09-01,treatment,,False
HCP101603,EV2001,2024-09-01,treatment,,False
HCP102422,EV2001,2024-09-01,treatment,,False
HCP101692,EV2001,2024-09-01,control_candidate,,False
HCP100788,EV2001,2024-09-01,control_candidate,,False
HCP101462,EV2001,2024-09-01,control_candidate,,False
HCP101421,EV2001,2024-09-01,control_candidate,,False
HCP101032,EV2001,2024-09-01,control_candidate,,False
HCP101017,EV2001,2024-09-01,treatment,,False
HCP102430,EV2001,2024-09-01,control_candidate,,False
HCP102374,EV2001,2024-09-01,control_candidate,,False
HCP102320,EV2001,2024-09-01,excluded,insufficient_pre_event_rx_history,False
HCP102468,EV2001,2024-09-01,treatment,,False
HCP102355,EV2001,2024-09-01,control_candidate,,False
HCP102466,EV2001,2024-09-01,control_candidate,,False
HCP101624,EV2001,2024-09-01,treatment,,False
HCP100497,EV2001,2024-09-01,treatment,,False
HCP100405,EV2001,2024-09-01,control_candidate,,False
HCP100104,EV2001,2024-09-01,excluded,contaminated_overlapping_exposure,True
HCP102209,EV2001,2024-09-01,control_candidate,,False
HCP101193,EV2001,2024-09-01,control_candidate,,False
HCP101090,EV2001,2024-09-01,control_candidate,,False
HCP101627,EV2001,2024-09-01,control_candidate,,False
HCP102397,EV2001,2024-09-01,control_candidate,,False
HCP101448,EV2001,2024-09-01,excluded,contaminated_overlapping_exposure,True
HCP100406,EV2001,2024-09-01,control_candidate,,False
HCP100337,EV2001,2024-09-01,treatment,,False
HCP100999,EV2001,2024-09-01,control_candidate,,False
HCP102448,EV2001,2024-09-01,treatment,,False
HCP100075,EV2001,2024-09-01,control_candidate,,False
HCP101137,EV2001,2024-09-01,treatment,,False
HCP101266,EV2001,2024-09-01,control_candidate,,False
HCP101022,EV2001,2024-09-01,control_candidate,,False
HCP102004,EV2001,2024-09-01,control_candidate,,False
HCP101730,EV2001,2024-09-01,treatment,,False
HCP100785,EV2001,2024-09-01,control_candidate,,False
HCP100594,EV2001,2024-09-01,treatment,,False
HCP101836,EV2001,2024-09-01,control_candidate,,False
HCP100943,EV2001,2024-09-01,control_candidate,,False
HCP101690,EV2001,2024-09-01,treatment,,False
HCP102155,EV2001,2024-09-01,control_candidate,,False
HCP101408,EV2001,2024-09-01,control_candidate,,False
HCP102121,EV2001,2024-09-01,control_candidate,,False
HCP100252,EV2001,2024-09-01,control_candidate,,False
HCP100564,EV2001,2024-09-01,control_candidate,,False
HCP102248,EV2001,2024-09-01,treatment,,False
HCP102433,EV2001,2024-09-01,control_candidate,,False
HCP101527,EV2001,2024-09-01,treatment,,False
HCP102202,EV2001,2024-09-01,control_candidate,,False
HCP100908,EV2001,2024-09-01,excluded,contaminated_overlapping_exposure,True
HCP100847,EV2001,2024-09-01,control_candidate,,False
HCP102329,EV2001,2024-09-01,treatment,,False
HCP101296,EV2001,2024-09-01,control_candidate,,False
HCP100824,EV2001,2024-09-01,treatment,,False
HCP101525,EV2001,2024-09-01,control_candidate,,False
HCP101925,EV2001,2024-09-01,control_candidate,,False
HCP101736,EV2001,2024-09-01,excluded,contaminated_overlapping_exposure,True
HCP100682,EV2001,2024-09-01,control_candidate,,False
