master_hcp_id,event_id,group,avg_nrx_3m,avg_nrx_6m,avg_trx_3m,avg_trx_6m,nrx_trend,competitor_trx_avg,rep_calls_3m,emails_3m,samples_3m,prior_event_count,specialty_topic_match,access_index,seasonality_index,competitor_index,segment,specialty,region
HCP100462,EV2001,control_candidate,44.0,27.6667,58.3333,41.0,8.8,41.8333,35,15,36,0,1,0.8256,1.0282,1.4798,High,Primary Care,Midwest
HCP102475,EV2001,control_candidate,3.3333,7.1667,11.6667,16.6667,-1.8571,47.1667,12,13,31,0,1,0.6679,1.0274,0.9667,High,Cardiology,West
HCP101519,EV2001,control_candidate,13.0,14.8333,33.0,34.0,-0.0286,47.6667,25,23,63,0,0,0.6321,1.0402,1.1539,High,Oncology,Northeast
HCP100295,EV2001,control_candidate,7.0,9.1667,17.0,18.8333,-1.6286,50.3333,10,10,33,0,1,0.7982,1.0537,0.984,High,Primary Care,Southeast
HCP100799,EV2001,control_candidate,36.6667,33.3333,63.0,68.6667,0.3429,175.5,17,12,20,0,1,0.6321,1.0402,1.1539,High,Endocrinology,Northeast
HCP101559,EV2001,treatment,24.0,18.6667,65.0,57.8333,2.4,223.3333,16,20,17,0,1,0.6321,1.0402,1.1539,Medium,Endocrinology,Northeast
HCP101643,EV2001,treatment,11.0,11.6,17.0,17.4,-0.4,10.8,9,18,15,0,1,0.6679,1.0274,0.9667,Medium,Cardiology,West
HCP101305,EV2001,control_candidate,4.6667,7.5,17.6667,21.5,-1.2286,21.0,17,30,22,0,0,0.6321,1.0402,1.1539,High,Gastroenterology,Northeast
HCP101648,EV2001,control_candidate,10.6667,11.5,26.0,33.3333,-0.8286,32.5,11,13,29,0,1,0.6321,1.0402,1.1539,High,Primary Care,Northeast
HCP102484,EV2001,control_candidate,4.0,4.0,7.6667,6.0,-0.1143,31.1667,1,13,1,0,1,0.6679,1.0274,0.9667,Low,Endocrinology,West
HCP100758,EV2001,control_candidate,9.6667,11.3333,35.6667,37.8333,-1.0286,64.8333,16,19,45,0,1,0.8256,1.0282,1.4798,High,Endocrinology,Midwest
HCP100471,EV2001,control_candidate,6.0,7.1667,14.0,15.3333,0.3143,31.0,6,13,14,0,1,0.8256,1.0282,1.4798,Medium,Cardiology,Midwest
HCP102363,EV2001,control_candidate,4.6667,4.6,13.3333,17.2,0.2,35.8,5,9,2,0,1,0.7016,1.0471,1.0173,Medium,Cardiology,Pacific Northwest
HCP102234,EV2001,control_candidate,2.3333,2.1667,7.6667,6.0,-0.0857,5.0,3,15,4,0,1,0.8256,1.0282,1.4798,Medium,Primary Care,Midwest
HCP102217,EV2001,control_candidate,13.0,15.6667,52.6667,45.5,-2.2857,26.6667,23,20,33,0,1,0.6679,1.0274,0.9667,Medium,Primary Care,West
HCP101572,EV2001,control_candidate,11.3333,13.0,23.3333,22.8333,-1.4286,18.5,11,12,23,0,1,0.8256,1.0282,1.4798,High,Cardiology,Midwest
HCP102300,EV2001,treatment,3.6667,8.6667,7.3333,13.0,-3.8286,6.8333,4,16,6,0,1,0.7982,1.0537,0.984,Low,Endocrinology,Southeast
HCP101978,EV2001,control_candidate,6.6667,5.6667,8.6667,8.1667,-0.0571,15.0,3,15,7,0,1,0.8256,1.0282,1.4798,Medium,Cardiology,Midwest
HCP100923,EV2001,control_candidate,10.6667,13.6667,25.6667,25.5,-0.6857,56.1667,26,7,73,0,1,0.6321,1.0402,1.1539,High,Endocrinology,Northeast
HCP100088,EV2001,treatment,14.3333,10.0,19.6667,15.8333,2.1714,44.6667,6,13,4,0,1,0.8256,1.0282,1.4798,Medium,Cardiology,Midwest
HCP100990,EV2001,treatment,10.3333,9.5,41.0,32.8333,-0.2,67.1667,14,21,13,0,1,0.7799,1.0456,1.1713,Medium,Endocrinology,Mountain
HCP101669,EV2001,control_candidate,24.6667,21.0,48.0,47.0,-0.1714,94.3333,8,7,12,0,1,0.6679,1.0274,0.9667,High,Primary Care,West
HCP102307,EV2001,control_candidate,12.0,10.0,28.6667,33.5,1.8857,70.1667,9,13,22,0,1,0.7982,1.0537,0.984,Medium,Endocrinology,Southeast
HCP102360,EV2001,control_candidate,3.0,2.8333,12.3333,11.5,0.5429,46.6667,13,10,34,0,1,0.6321,1.0402,1.1539,Medium,Primary Care,Northeast
