master_hcp_id_treated,event_id,master_hcp_id_control,propensity_score_treated,propensity_score_control,match_weight
HCP101559,EV2001,HCP100799,0.595699,0.574294,0.5
HCP101559,EV2001,HCP100284,0.595699,0.570628,0.5
HCP101643,EV2001,HCP102020,0.502173,0.484995,0.5
HCP101643,EV2001,HCP101925,0.502173,0.484835,0.5
HCP102300,EV2001,HCP101181,0.543052,0.531488,0.5
HCP102300,EV2001,HCP100588,0.543052,0.578176,0.5
HCP100088,EV2001,HCP100471,0.560661,0.541412,0.5
HCP100088,EV2001,HCP102363,0.560661,0.601104,0.5
HCP100990,EV2001,HCP100847,0.561537,0.543604,0.5
HCP100990,EV2001,HCP101583,0.561537,0.533728,0.5
HCP100444,EV2001,HCP102443,0.583828,0.536461,0.5
HCP100444,EV2001,HCP100389,0.583828,0.5682,0.5
HCP102009,EV2001,HCP101525,0.440653,0.442506,0.5
HCP102009,EV2001,HCP101664,0.440653,0.436653,0.5
HCP101618,EV2001,HCP101010,0.369895,0.39845,0.5
HCP101618,EV2001,HCP101022,0.369895,0.369878,0.5
HCP101639,EV2001,HCP100817,0.264237,0.249008,0.5
HCP101639,EV2001,HCP102407,0.264237,0.237152,0.5
HCP100152,EV2001,HCP102424,0.52668,0.540563,0.5
HCP100152,EV2001,HCP101102,0.52668,0.501953,0.5
HCP100640,EV2001,HCP102403,0.597125,0.640245,0.5
HCP100640,EV2001,HCP102011,0.597125,0.55371,0.5
HCP100412,EV2001,HCP100252,0.588851,0.619362,0.5
HCP100412,EV2001,HCP102336,0.588851,0.542175,0.5
HCP101591,EV2001,HCP100180,0.532216,0.491364,0.5
HCP101591,EV2001,HCP101187,0.532216,0.527525,0.5
HCP100810,EV2001,HCP101321,0.410559,0.449412,0.5
HCP100810,EV2001,HCP101519,0.410559,0.46042,0.5
HCP101844,EV2001,HCP101939,0.656784,0.651672,0.5
HCP101844,EV2001,HCP102253,0.656784,0.630405,0.5
HCP100657,EV2001,HCP101648,0.58954,0.6038,0.5
HCP100657,EV2001,HCP101572,0.58954,0.595311,0.5
HCP101823,EV2001,HCP102121,0.350422,0.385404,0.5
HCP101823,EV2001,HCP102268,0.350422,0.31978,0.5
HCP101718,EV2001,HCP102360,0.32123,0.316681,0.5
HCP101718,EV2001,HCP100965,0.32123,0.369278,0.5
HCP101419,EV2001,HCP101867,0.532765,0.558413,0.5
HCP101419,EV2001,HCP102433,0.532765,0.497589,0.5
HCP100559,EV2001,HCP100209,0.672553,0.696328,0.5
HCP100559,EV2001,HCP102374,0.672553,0.671524,0.5
HCP100961,EV2001,HCP100757,0.489891,0.477698,0.5
HCP100961,EV2001,HCP101454,0.489891,0.53624,0.5
HCP100639,EV2001,HCP102466,0.712213,0.760244,0.5
HCP100639,EV2001,HCP102239,0.712213,0.759618,0.5
HCP100850,EV2001,HCP101271,0.716842,0.7298,0.5
HCP100850,EV2001,HCP100222,0.716842,0.685529,0.5
HCP102273,EV2001,HCP100788,0.469645,0.470033,0.5
HCP102273,EV2001,HCP101836,0.469645,0.499326,0.5
HCP102389,EV2001,HCP101193,0.808348,0.778824,0.5
HCP102389,EV2001,HCP101392,0.808348,0.810717,0.5
HCP101322,EV2001,HCP102156,0.407324,0.395047,0.5
HCP101322,EV2001,HCP101995,0.407324,0.430294,0.5
HCP102328,EV2001,HCP101277,0.513275,0.555926,0.5
HCP102328,EV2001,HCP102484,0.513275,0.492159,0.5
HCP102341,EV2001,HCP101305,0.351432,0.374962,0.5
HCP102341,EV2001,HCP102109,0.351432,0.362462,0.5
HCP100503,EV2001,HCP100601,0.692515,0.657628,0.5
HCP100503,EV2001,HCP102202,0.692515,0.658477,0.5
HCP101287,EV2001,HCP100342,0.527381,0.527948,0.5
HCP101287,EV2001,HCP101169,0.527381,0.480003,0.5
HCP101879,EV2001,HCP100564,0.633422,0.590925,0.5
HCP101879,EV2001,HCP102307,0.633422,0.640292,0.5
HCP101603,EV2001,HCP102285,0.505445,0.509551,0.5
HCP101603,EV2001,HCP102475,0.505445,0.551194,0.5
HCP102422,EV2001,HCP102004,0.375298,0.367623,0.5
HCP102422,EV2001,HCP101835,0.375298,0.334828,0.5
HCP101017,EV2001,HCP100363,0.451887,0.46211,0.5
HCP101017,EV2001,HCP100671,0.451887,0.433916,0.5
HCP102468,EV2001,HCP100358,0.33603,0.344941,0.5
HCP102468,EV2001,HCP101421,0.33603,0.356728,0.5
HCP101624,EV2001,HCP101462,0.347204,0.329241,0.5
HCP101624,EV2001,HCP100943,0.347204,0.349088,0.5
HCP100497,EV2001,HCP101296,0.541997,0.544104,0.5
HCP100497,EV2001,HCP100758,0.541997,0.547611,0.5
HCP100337,EV2001,HCP100907,0.571275,0.535963,0.5
HCP100337,EV2001,HCP102430,0.571275,0.618382,0.5
HCP102448,EV2001,HCP100126,0.620849,0.628109,0.5
HCP102448,EV2001,HCP100269,0.620849,0.570988,0.5
HCP101137,EV2001,HCP100295,0.553635,0.582836,0.5
HCP101137,EV2001,HCP102155,0.553635,0.536776,0.5
HCP101730,EV2001,HCP100710,0.470387,0.448813,0.5
HCP101730,EV2001,HCP100075,0.470387,0.458844,0.5
HCP100594,EV2001,HCP100785,0.328346,0.278692,0.5
HCP100594,EV2001,HCP100760,0.328346,0.290236,0.5
HCP101690,EV2001,HCP102397,0.335209,0.36029,1.0
HCP102248,EV2001,HCP102217,0.67317,0.643976,0.5
HCP102248,EV2001,HCP100756,0.67317,0.683854,0.5
HCP101527,EV2001,HCP100064,0.579621,0.558272,0.5
HCP101527,EV2001,HCP100802,0.579621,0.602787,0.5
HCP100824,EV2001,HCP101692,0.603862,0.619575,0.5
HCP100824,EV2001,HCP102398,0.603862,0.58832,0.5
HCP102138,EV2001,HCP100353,0.586325,0.616257,0.5
HCP102138,EV2001,HCP102394,0.586325,0.612631,0.5
HCP101329,EV2001,HCP102375,0.580337,0.530685,0.5
HCP101329,EV2001,HCP101090,0.580337,0.534447,0.5
HCP101642,EV2001,HCP100848,0.685651,0.728685,1.0
HCP101085,EV2001,HCP101408,0.580874,0.574964,0.5
HCP101085,EV2001,HCP101266,0.580874,0.62003,0.5
HCP101494,EV2001,HCP100224,0.596806,0.570459,0.5
HCP101494,EV2001,HCP101978,0.596806,0.583093,0.5
HCP101537,EV2001,HCP100382,0.13547,0.093064,0.5
HCP101537,EV2001,HCP101669,0.13547,0.142765,0.5
