metric,value_before_matching,value_after_matching,threshold,passed
model_auc_oof,0.6207,,,
smd_avg_nrx_3m,0.3046,0.2095,0.1,False
smd_avg_nrx_6m,0.3221,0.2076,0.1,False
smd_avg_trx_3m,0.3067,0.2003,0.1,False
smd_avg_trx_6m,0.3204,0.2019,0.1,False
smd_nrx_trend,0.0033,0.0339,0.1,True
smd_competitor_trx_avg,0.2784,0.1815,0.1,False
smd_rep_calls_3m,0.338,0.2442,0.1,False
smd_emails_3m,0.2309,0.06,0.1,True
smd_samples_3m,0.2903,0.2153,0.1,False
smd_prior_event_count,0.2985,0.1618,0.1,False
smd_specialty_topic_match,0.2371,0.01,0.1,True
smd_access_index,0.0068,0.0043,0.1,True
smd_seasonality_index,0.0368,0.0081,0.1,True
smd_competitor_index,0.0207,0.0234,0.1,True
smd_segment_enc,0.1174,0.1481,0.1,False
smd_specialty_enc,0.0932,0.0374,0.1,True
smd_region_enc,0.006,0.0077,0.1,True
n_treated_matched,3635.0,3437.0,,
n_treated_discarded,0.0,198.0,,
retention_rate_pct,100.0,94.55,,
n_match_pairs,,6720.0,,
