product,scenario,expected_fills_per_new_rx,net_contribution_per_fill,net_contribution_per_incremental_nrx
CARDIVEX,Conservative,5.4,78.0,421.2
CARDIVEX,Base,6.2,92.0,570.4
CARDIVEX,Optimistic,7.1,108.0,766.8
ONCOLERA,Conservative,3.1,1150.0,3565.0
ONCOLERA,Base,3.8,1340.0,5092.0
ONCOLERA,Optimistic,4.5,1590.0,7155.0
ENDOSTAT,Conservative,6.8,54.0,367.2
ENDOSTAT,Base,7.9,64.0,505.6
ENDOSTAT,Optimistic,9.1,77.0,700.7
NEUROVANT,Conservative,4.2,130.0,546.0
NEUROVANT,Base,5.0,155.0,775.0
NEUROVANT,Optimistic,5.9,186.0,1097.4
