event_id,honorarium,venue,meal,travel,agency,total,finance_review_flag
EV2001,1625.92,432.73,158.47,105.09,1066.75,3388.96,0
EV2002,4014.43,1320.7,2100.63,2299.15,2830.79,12565.7,0
EV2003,1585.29,315.02,367.29,95.55,1079.26,3442.41,0
EV2004,3932.89,1203.67,1448.91,2904.28,2979.16,12468.91,0
EV2005,2366.37,322.28,532.4,105.59,1229.88,4556.52,0
EV2006,1989.02,438.64,48.88,70.76,2359.88,4907.18,0
EV2007,2836.62,1692.57,2536.55,3179.03,1862.81,12107.58,0
EV2008,3553.3,1160.12,802.15,1575.93,1868.36,8959.86,0
EV2009,3460.65,1342.94,1851.25,1498.33,2627.31,10780.48,0
EV2010,3960.83,1617.04,2032.01,3320.46,3182.95,14113.29,0
EV2011,2825.31,1187.44,1256.49,2380.0,2325.73,9974.97,0
EV2012,2123.32,371.9,463.44,114.59,2273.17,5346.42,0
EV2013,1000.45,376.73,63.68,508.97,696.01,2645.84,0
EV2014,4014.9,1272.27,952.55,1800.89,2179.33,10219.94,0
EV2015,3097.32,1324.16,1403.71,2438.88,2686.27,10950.34,0
EV2016,2523.06,1323.2,1647.57,1686.32,1706.44,8886.59,0
EV2017,2924.55,559.64,352.06,711.69,2840.03,7387.97,0
EV2018,4093.81,1045.35,663.66,2833.28,2346.8,10982.9,0
EV2019,2239.61,366.02,331.72,115.32,1522.22,4574.89,0
EV2020,4092.22,1616.89,1564.72,2095.92,1652.39,11022.14,0
EV2021,11198.36,2829.6,2855.56,4545.64,12836.55,34265.71,1
EV2022,2631.51,1267.95,1727.4,2660.63,3473.66,11761.15,0
EV2023,4129.55,1321.08,1696.49,2356.54,3094.77,12598.43,0
EV2024,3052.21,803.79,1603.3,1740.64,3259.57,10459.51,0
EV2025,2514.69,1418.8,1476.07,3112.86,1905.4,10427.82,0
EV2026,2367.95,701.57,663.49,1278.4,1612.58,6623.99,0
EV2027,3188.37,1755.54,3003.96,3720.51,2889.32,14557.7,0
EV2028,1586.37,393.34,63.6,60.54,2323.5,4427.35,0
EV2029,1919.64,330.66,11.8,2.68,1287.92,3552.7,0
EV2030,4392.99,1206.79,1056.01,2277.66,2746.48,11679.93,0
EV2031,2421.7,287.64,246.24,6.43,1203.37,4165.38,0
EV2032,1663.84,381.33,123.5,11.85,1982.84,4163.36,0
EV2033,2582.16,386.55,395.57,5.17,2118.55,5488.0,0
EV2034,2379.6,152.6,372.66,81.92,943.28,3930.06,0
EV2035,1914.91,249.48,448.42,9.66,1758.37,4380.84,0
EV2036,2958.25,637.68,575.58,1017.28,2806.75,7995.54,0
EV2037,3916.66,1770.72,2654.48,3024.98,2128.61,13495.45,0
EV2038,3135.21,846.25,912.2,1611.48,1593.33,8098.47,0
EV2039,2675.69,1164.2,2814.12,1552.55,2772.63,10979.19,0
EV2040,3784.84,723.53,730.2,740.72,2556.18,8535.47,0
EV2041,4121.26,1634.32,2861.48,3497.71,2661.83,14776.6,0
EV2042,1890.12,294.42,130.22,31.1,1787.17,4133.03,0
EV2043,3223.88,707.16,1101.68,1065.09,1725.58,7823.39,0
EV2044,2583.82,1542.95,2579.63,2401.39,2146.98,11254.77,0
EV2045,3393.41,1195.28,895.64,2210.08,2282.09,9976.5,0
EV2046,3876.87,1345.97,1111.01,3145.74,3071.7,12551.29,0
