hcp_id,specialty,region,segment,active_flag
HCP100001,Neurology,West,Medium,1
HCP100002,Cardiology,Northeast,Medium,1
HCP100003,Oncology,Southeast,Low,1
HCP100004,Psychiatry,Pacific Northwest,Medium,1
HCP100005,Neurology,West,Low,1
HCP100006,Psychiatry,Midwest,Low,1
HCP100007,Neurology,Southwest,Medium,1
HCP100008,Dermatology,Midwest,Medium,1
HCP100009,Endocrinology,Northeast,Medium,1
HCP100010,Oncology,Midwest,Medium,1
HCP100011,Oncology,Southeast,Medium,1
HCP100012,Gastroenterology,West,Low,0
HCP100013,Cardiology,Northeast,Low,1
HCP100014,Neurology,Southeast,Medium,1
HCP100015,Primary Care,Midwest,High,1
HCP100016,Oncology,Midwest,Low,1
HCP100017,Oncology,Northeast,Low,1
HCP100018,Psychiatry,Northeast,Low,1
HCP100019,Psychiatry,Mountain,Low,1
HCP100020,Gastroenterology,Southeast,Medium,1
HCP100021,Cardiology,Northeast,Low,1
HCP100022,Primary Care,Midwest,High,0
HCP100023,Primary Care,Midwest,High,1
HCP100024,Gastroenterology,Northeast,Medium,1
HCP100027,Primary Care,Northeast,Low,0
HCP100028,Oncology,Southwest,Low,1
HCP100029,Psychiatry,Midwest,Low,1
HCP100030,Primary Care,Midwest,Medium,1
HCP100031,Endocrinology,Pacific Northwest,Low,1
HCP100032,Cardiology,Southwest,High,1
HCP100033,Cardiology,Southwest,Medium,1
HCP100034,Cardiology,Southeast,High,1
HCP100035,Neurology,Southeast,Medium,1
HCP100036,Dermatology,Midwest,Low,1
HCP100038,Psychiatry,Southeast,Low,0
HCP100040,Primary Care,West,Medium,1
HCP100041,Oncology,Mountain,Low,1
HCP100042,Dermatology,Midwest,Medium,1
HCP100044,Neurology,Southeast,Low,1
HCP100045,Oncology,West,Low,1
HCP100046,Gastroenterology,Southeast,Low,1
HCP100047,Cardiology,Midwest,Medium,1
HCP100048,Primary Care,Southwest,Low,1
HCP100049,Cardiology,West,Low,1
HCP100050,Gastroenterology,Mountain,Medium,1
HCP100051,Gastroenterology,Southeast,Medium,1
HCP100052,Oncology,Northeast,Low,1
HCP100053,Oncology,Northeast,Low,1
HCP100054,Primary Care,Southeast,High,1
HCP100055,Cardiology,West,Medium,0
HCP100056,Primary Care,Pacific Northwest,Medium,1
HCP100057,Gastroenterology,Northeast,Medium,1
HCP100058,Oncology,Southwest,High,1
HCP100059,Primary Care,Northeast,Low,1
HCP100060,Neurology,West,Medium,1
HCP100061,Dermatology,Midwest,Medium,1
HCP100062,Cardiology,Mountain,Medium,1
HCP100063,Dermatology,Northeast,Low,0
HCP100064,Cardiology,Southwest,Medium,1
HCP100065,Cardiology,Northeast,Low,1
HCP100066,Oncology,Southwest,Low,0
HCP100067,Dermatology,Southeast,Low,1
HCP100068,Primary Care,Northeast,Low,1
HCP100069,Oncology,Southeast,Medium,1
HCP100070,Endocrinology,Midwest,Low,1
HCP100071,Dermatology,Northeast,Low,0
HCP100072,Cardiology,Northeast,Medium,1
HCP100073,Dermatology,West,Medium,0
HCP100074,Neurology,West,Medium,1
HCP100075,Endocrinology,Midwest,Medium,1
HCP100076,Neurology,Southeast,Low,1
HCP100077,Dermatology,Midwest,Medium,1
HCP100078,Oncology,Mountain,Medium,1
HCP100079,Dermatology,West,Low,1
HCP100080,Gastroenterology,West,Low,1
HCP100081,Endocrinology,Midwest,Medium,1
HCP100082,Oncology,Southwest,Medium,1
HCP100083,Dermatology,Northeast,Low,0
HCP100084,Gastroenterology,Northeast,Low,0
HCP100085,Gastroenterology,Southwest,Medium,1
HCP100086,Oncology,Southeast,Medium,1
HCP100087,Primary Care,West,High,1
HCP100088,Cardiology,Midwest,Medium,1
HCP100089,Gastroenterology,Northeast,Medium,1
HCP100091,Neurology,West,High,1
HCP100092,Neurology,Midwest,Medium,0
HCP100093,Cardiology,Southeast,Medium,1
HCP100094,Neurology,Midwest,Low,0
HCP100095,Cardiology,West,Medium,1
HCP100096,Endocrinology,Northeast,Low,1
HCP100097,Cardiology,Northeast,High,1
HCP100098,Primary Care,Midwest,Low,1
HCP100099,Cardiology,Southeast,Medium,0
HCP100101,Cardiology,Southwest,High,0
HCP100102,Cardiology,West,High,1
HCP100103,Primary Care,West,Medium,1
HCP100104,Endocrinology,Northeast,Medium,1
HCP100105,Psychiatry,Southwest,Low,0
HCP100106,Cardiology,Mountain,Low,1
HCP100108,Neurology,Southeast,Low,0
HCP100109,Endocrinology,Southwest,Low,1
HCP100110,Cardiology,Southwest,Medium,1
HCP100112,Primary Care,Northeast,Medium,1
HCP100113,Oncology,Southeast,Low,1
HCP100114,Cardiology,Midwest,Medium,1
HCP100115,Cardiology,West,High,1
HCP100116,Primary Care,Northeast,Low,1
HCP100117,Primary Care,Southeast,Medium,1
HCP100118,Primary Care,Southeast,Low,1
HCP100119,Psychiatry,Midwest,Low,1
HCP100120,Primary Care,Southeast,Low,1
HCP100121,Dermatology,West,High,1
HCP100122,Oncology,West,Medium,1
HCP100123,Neurology,West,Medium,1
HCP100124,Cardiology,West,High,1
HCP100125,Oncology,West,High,1
HCP100126,Cardiology,Northeast,High,1
HCP100128,Cardiology,Northeast,Medium,1
HCP100129,Cardiology,West,Medium,0
HCP100130,Cardiology,Southeast,Medium,1
HCP100131,Primary Care,Southeast,High,1
HCP100132,Cardiology,West,Low,1
HCP100133,Oncology,West,High,1
HCP100134,Primary Care,Midwest,High,1
HCP100135,Primary Care,Pacific Northwest,High,1
HCP100136,Primary Care,Northeast,Medium,1
HCP100137,Endocrinology,Southeast,Medium,1
HCP100138,Cardiology,Mountain,Low,1
HCP100139,Primary Care,Mountain,High,1
HCP100140,Gastroenterology,West,Low,1
HCP100141,Psychiatry,Southwest,Low,0
HCP100142,Psychiatry,West,Low,1
HCP100143,Oncology,Midwest,Medium,1
HCP100145,Primary Care,West,Low,1
HCP100146,Primary Care,Midwest,Medium,1
HCP100147,Dermatology,Midwest,Low,1
HCP100148,Oncology,Midwest,Medium,1
HCP100149,Primary Care,Midwest,Medium,1
HCP100150,Dermatology,West,Low,1
HCP100151,Primary Care,Southwest,Low,1
HCP100152,Primary Care,Midwest,High,1
HCP100153,Dermatology,Northeast,High,1
HCP100154,Neurology,Southwest,Medium,1
HCP100155,Cardiology,Midwest,Medium,1
HCP100156,Primary Care,Northeast,Medium,1
HCP100157,Endocrinology,Northeast,Medium,1
HCP100158,Gastroenterology,Southwest,Low,1
HCP100159,Endocrinology,Midwest,Low,1
HCP100160,Neurology,Southeast,Medium,1
HCP100163,Neurology,Midwest,Medium,1
HCP100164,Neurology,Northeast,Medium,1
HCP100165,Oncology,Midwest,Low,1
HCP100166,Primary Care,West,High,1
HCP100167,Oncology,Midwest,Low,1
HCP100168,Endocrinology,Southwest,Low,1
HCP100169,Primary Care,Southwest,Medium,1
HCP100171,Oncology,Midwest,Medium,1
HCP100172,Oncology,Midwest,Low,0
HCP100173,Neurology,Northeast,Medium,1
HCP100174,Oncology,Midwest,Medium,1
HCP100175,Endocrinology,Southeast,Low,1
HCP100176,Gastroenterology,Northeast,Medium,1
HCP100177,Gastroenterology,Midwest,Medium,1
HCP100178,Neurology,Northeast,Medium,1
HCP100179,Endocrinology,Mountain,Medium,1
HCP100180,Endocrinology,Southeast,Medium,1
HCP100181,Gastroenterology,Mountain,Medium,1
HCP100182,Cardiology,Southeast,Medium,0
HCP100183,Dermatology,Mountain,Low,1
HCP100184,Primary Care,Southwest,Low,1
HCP100185,Gastroenterology,Northeast,Low,1
HCP100186,Cardiology,West,Medium,1
HCP100187,Primary Care,Northeast,Medium,0
HCP100189,Primary Care,Southeast,Low,1
HCP100190,Gastroenterology,Mountain,Low,0
HCP100191,Psychiatry,Northeast,Medium,1
HCP100192,Primary Care,Southwest,Low,0
HCP100193,Cardiology,West,Medium,1
HCP100195,Cardiology,West,Medium,1
HCP100196,Cardiology,Northeast,High,1
HCP100197,Oncology,Southeast,Medium,0
HCP100198,Primary Care,Northeast,High,1
HCP100199,Primary Care,Midwest,High,1
HCP100200,Cardiology,West,Low,0
HCP100201,Primary Care,Southwest,Low,1
HCP100202,Cardiology,Mountain,Medium,1
HCP100203,Oncology,Pacific Northwest,Low,1
HCP100204,Dermatology,Northeast,High,1
HCP100205,Cardiology,Southeast,Low,1
HCP100206,Primary Care,Southeast,Medium,1
HCP100207,Dermatology,Midwest,Low,1
HCP100208,Cardiology,Northeast,High,1
HCP100209,Endocrinology,Southwest,High,1
HCP100210,Primary Care,Southeast,Medium,0
HCP100211,Neurology,Southeast,Medium,1
HCP100212,Dermatology,Southwest,Low,1
HCP100213,Oncology,Northeast,High,1
HCP100214,Gastroenterology,Southeast,Low,1
HCP100215,Psychiatry,Southwest,Low,1
HCP100217,Endocrinology,Northeast,Medium,1
HCP100218,Primary Care,Southwest,Low,1
HCP100219,Neurology,Northeast,Low,0
HCP100221,Oncology,Southwest,Low,1
HCP100222,Cardiology,Northeast,High,1
HCP100223,Primary Care,Pacific Northwest,Low,1
HCP100224,Primary Care,Midwest,Medium,1
HCP100225,Oncology,Midwest,Medium,1
HCP100226,Endocrinology,Southwest,Medium,1
HCP100227,Dermatology,Midwest,Low,1
HCP100228,Dermatology,Southeast,High,1
HCP100229,Gastroenterology,West,Low,0
HCP100231,Neurology,Northeast,Low,1
HCP100232,Endocrinology,West,Medium,0
HCP100233,Primary Care,Southwest,Low,1
HCP100234,Primary Care,Pacific Northwest,Medium,1
HCP100235,Neurology,Mountain,Medium,0
HCP100236,Oncology,Midwest,Low,1
HCP100237,Primary Care,West,Low,1
HCP100238,Oncology,Southwest,Low,1
HCP100239,Neurology,Southeast,Low,1
HCP100240,Psychiatry,West,Low,1
HCP100241,Primary Care,West,Medium,1
HCP100242,Gastroenterology,Northeast,Medium,1
HCP100243,Primary Care,Northeast,Medium,0
HCP100245,Gastroenterology,Southeast,High,1
HCP100246,Neurology,Pacific Northwest,Low,0
HCP100247,Cardiology,Northeast,Low,1
HCP100248,Psychiatry,Southeast,Low,1
HCP100249,Cardiology,Northeast,High,1
HCP100250,Endocrinology,Northeast,Low,1
HCP100251,Gastroenterology,Southeast,Low,1
HCP100252,Primary Care,Northeast,High,1
HCP100253,Oncology,Northeast,Low,1
HCP100254,Gastroenterology,Southwest,Medium,1
HCP100255,Dermatology,Southeast,Medium,1
HCP100256,Dermatology,West,Medium,1
HCP100257,Oncology,West,Low,0
HCP100258,Gastroenterology,Southeast,Medium,1
HCP100259,Endocrinology,West,Medium,0
HCP100260,Cardiology,West,High,1
HCP100261,Neurology,West,Medium,1
HCP100262,Psychiatry,West,Medium,1
HCP100263,Psychiatry,Mountain,Medium,1
HCP100264,Cardiology,Midwest,Medium,1
HCP100265,Dermatology,Midwest,Medium,1
HCP100266,Primary Care,West,Medium,1
HCP100267,Primary Care,Southwest,Low,1
HCP100268,Primary Care,Northeast,Medium,0
HCP100269,Cardiology,Northeast,High,1
HCP100270,Primary Care,Mountain,High,1
HCP100271,Oncology,Pacific Northwest,Low,0
HCP100272,Gastroenterology,Northeast,Low,1
HCP100273,Primary Care,West,Low,0
HCP100274,Dermatology,Midwest,Low,1
HCP100275,Cardiology,Northeast,High,1
HCP100276,Primary Care,Northeast,High,1
HCP100277,Dermatology,Midwest,High,1
HCP100278,Oncology,Midwest,Low,0
HCP100279,Cardiology,Midwest,Low,1
HCP100280,Oncology,Southeast,Low,1
HCP100281,Endocrinology,Southwest,Low,0
HCP100282,Oncology,Northeast,Medium,1
HCP100283,Dermatology,Southwest,Low,1
HCP100284,Endocrinology,West,High,1
HCP100285,Cardiology,Southwest,Low,1
HCP100286,Primary Care,Pacific Northwest,Low,1
HCP100287,Oncology,Northeast,Medium,1
HCP100288,Gastroenterology,Southeast,Medium,1
HCP100289,Neurology,West,Medium,1
HCP100290,Primary Care,Southwest,High,1
HCP100291,Primary Care,Southeast,Low,1
HCP100292,Dermatology,Northeast,Medium,1
HCP100293,Cardiology,Southeast,Medium,1
HCP100294,Neurology,Southwest,Low,0
HCP100295,Primary Care,Southeast,High,1
HCP100296,Oncology,West,Low,1
HCP100297,Dermatology,Northeast,Low,1
HCP100298,Neurology,Southeast,Medium,1
HCP100299,Primary Care,West,Medium,1
HCP100300,Primary Care,Southeast,Low,1
HCP100301,Psychiatry,Northeast,Low,1
HCP100302,Primary Care,Southeast,High,1
HCP100304,Endocrinology,West,High,1
HCP100305,Oncology,West,Medium,1
HCP100307,Cardiology,Southeast,Medium,1
HCP100308,Oncology,Midwest,Low,1
HCP100309,Psychiatry,West,High,1
HCP100310,Psychiatry,Midwest,Low,1
HCP100311,Neurology,Midwest,High,1
HCP100312,Oncology,Southwest,Medium,1
HCP100313,Neurology,Southeast,Low,1
HCP100314,Dermatology,Southeast,Low,1
HCP100315,Endocrinology,Pacific Northwest,Medium,1
HCP100316,Psychiatry,Northeast,Medium,1
HCP100317,Dermatology,Midwest,Low,0
HCP100318,Oncology,West,Medium,0
HCP100319,Oncology,Northeast,Medium,1
HCP100320,Endocrinology,Southeast,Low,1
HCP100321,Primary Care,Northeast,Low,1
HCP100322,Primary Care,Southwest,Medium,1
HCP100323,Oncology,Northeast,Low,1
HCP100324,Cardiology,Midwest,Low,0
HCP100325,Psychiatry,Northeast,Low,1
HCP100326,Neurology,Northeast,Low,0
HCP100327,Primary Care,Midwest,Low,1
HCP100328,Neurology,Southeast,High,1
HCP100329,Dermatology,Southwest,Low,0
HCP100330,Endocrinology,Northeast,Low,1
HCP100331,Gastroenterology,Northeast,Low,1
HCP100332,Oncology,Northeast,Low,0
HCP100333,Psychiatry,Midwest,Low,0
HCP100334,Endocrinology,Midwest,Medium,1
HCP100335,Cardiology,Pacific Northwest,Low,1
HCP100336,Gastroenterology,Northeast,Low,1
HCP100337,Cardiology,Southeast,Medium,1
HCP100338,Dermatology,Southwest,Low,0
HCP100340,Neurology,West,Medium,0
HCP100341,Dermatology,Mountain,High,0
HCP100342,Cardiology,Northeast,Medium,1
HCP100343,Cardiology,Southeast,High,1
HCP100344,Oncology,Mountain,High,1
HCP100345,Primary Care,Northeast,Low,0
HCP100346,Neurology,Southeast,Low,1
HCP100347,Oncology,Southeast,Low,1
HCP100348,Primary Care,Northeast,Medium,1
HCP100349,Primary Care,Midwest,Low,1
HCP100350,Dermatology,Southeast,Medium,0
HCP100351,Oncology,Midwest,High,1
HCP100352,Gastroenterology,West,Low,1
HCP100353,Endocrinology,Southeast,Low,1
HCP100354,Cardiology,Southeast,High,1
HCP100356,Cardiology,Midwest,Medium,1
HCP100358,Cardiology,Northeast,Low,1
HCP100359,Oncology,Northeast,Low,1
HCP100360,Oncology,Southeast,Medium,1
HCP100361,Endocrinology,Southwest,Medium,1
HCP100362,Primary Care,Northeast,Low,1
HCP100363,Primary Care,West,High,1
HCP100364,Endocrinology,Northeast,Low,1
