region,month,access,seasonality,competitor_index
Northeast,2024-01,0.6674,1.0404,1.1081
Northeast,2024-02,0.6391,1.0396,1.1031
Northeast,2024-03,0.616,1.0361,1.1159
Northeast,2024-04,0.6366,1.0027,1.0994
Northeast,2024-05,0.6335,1.0096,1.0949
Northeast,2024-06,0.638,0.987,1.1031
Northeast,2024-07,0.6252,0.9354,1.1436
Northeast,2024-08,0.6475,0.9503,1.1167
Northeast,2024-09,0.6321,1.0402,1.1539
Northeast,2024-10,0.6613,1.0631,1.1432
Northeast,2024-11,0.6334,1.029,1.1507
Northeast,2024-12,0.6347,0.917,1.1925
Northeast,2025-01,0.6316,1.0299,1.1482
Northeast,2025-02,0.609,1.0281,1.1528
Northeast,2025-03,0.6279,1.0398,1.2112
Northeast,2025-04,0.651,1.0147,1.1972
Northeast,2025-05,0.6262,1.0043,1.2119
Northeast,2025-06,0.6364,0.9815,1.1773
Northeast,2025-07,0.6451,0.9321,1.2366
Northeast,2025-08,0.6498,0.9601,1.2424
Northeast,2025-09,0.667,1.0634,1.2453
Northeast,2025-10,0.6491,1.054,1.2223
Northeast,2025-11,0.6715,1.0407,1.2369
Northeast,2025-12,0.6608,0.916,1.1814
Northeast,2026-01,0.6727,1.0428,1.4266
Northeast,2026-02,0.6307,1.0269,1.3654
Northeast,2026-03,0.6744,1.0654,1.4146
Northeast,2026-04,0.6694,1.0271,1.4194
Northeast,2026-05,0.6306,1.0122,1.4204
Northeast,2026-06,0.6741,0.974,1.4092
Northeast,2026-07,0.6386,0.9445,1.3883
Northeast,2026-08,0.6818,0.9417,1.4479
Southeast,2024-01,0.7846,1.0339,0.9396
Southeast,2024-02,0.7935,1.0305,0.9583
Southeast,2024-03,0.8041,1.059,0.9539
Southeast,2024-04,0.7892,1.0378,0.9519
Southeast,2024-05,0.8118,0.9886,0.9887
Southeast,2024-06,0.8155,0.9559,0.9402
Southeast,2024-07,0.8007,0.9379,0.9487
Southeast,2024-08,0.8095,0.9447,0.9808
Southeast,2024-09,0.7982,1.0537,0.984
Southeast,2024-10,0.7942,1.0739,0.9481
Southeast,2024-11,0.7926,1.0082,1.0239
Southeast,2024-12,0.8297,0.9201,0.9822
Southeast,2025-01,0.7986,1.0303,1.0138
Southeast,2025-02,0.7877,1.0294,0.9908
Southeast,2025-03,0.807,1.046,1.053
Southeast,2025-04,0.8057,1.0446,1.0824
Southeast,2025-05,0.7791,0.9854,1.0359
Southeast,2025-06,0.799,0.9969,1.2795
Southeast,2025-07,0.7806,0.9533,1.2978
Southeast,2025-08,0.7962,0.9646,1.3235
Southeast,2025-09,0.7779,1.0344,1.2636
Southeast,2025-10,0.8117,1.0643,1.3262
Southeast,2025-11,0.7891,1.0434,1.2978
Southeast,2025-12,0.7903,0.9406,1.3267
Southeast,2026-01,0.7755,1.0297,1.3118
Southeast,2026-02,0.8068,1.0447,1.3505
Southeast,2026-03,0.7981,1.0364,1.3596
Southeast,2026-04,0.7777,1.0407,1.3524
Southeast,2026-05,0.8148,0.9975,1.3527
Southeast,2026-06,0.7847,0.9917,1.3726
Southeast,2026-07,0.8165,0.918,1.3903
Southeast,2026-08,0.8277,0.9538,1.3586
Midwest,2024-01,0.8076,1.0349,1.1104
Midwest,2024-02,0.8186,1.02,1.0852
Midwest,2024-03,0.8144,1.0683,1.1284
Midwest,2024-04,0.8199,1.021,1.1714
Midwest,2024-05,0.8138,0.9892,1.1123
Midwest,2024-06,0.8044,0.9607,1.1723
Midwest,2024-07,0.8295,0.9225,1.1117
Midwest,2024-08,0.8544,0.9335,1.1301
Midwest,2024-09,0.8256,1.0282,1.4798
Midwest,2024-10,0.829,1.0642,1.3986
Midwest,2024-11,0.8108,1.0239,1.4759
Midwest,2024-12,0.8017,0.924,1.4195
Midwest,2025-01,0.8225,1.0307,1.433
Midwest,2025-02,0.8224,1.0132,1.481
Midwest,2025-03,0.8098,1.0535,1.455
Midwest,2025-04,0.841,1.0174,1.4657
Midwest,2025-05,0.8285,1.0093,1.4615
Midwest,2025-06,0.831,0.9565,1.4364
Midwest,2025-07,0.8355,0.9229,1.497
Midwest,2025-08,0.8489,0.933,1.4631
Midwest,2025-09,0.82,1.0575,1.4992
Midwest,2025-10,0.836,1.058,1.4696
Midwest,2025-11,0.8201,1.0148,1.4787
Midwest,2025-12,0.8193,0.9235,1.5348
Midwest,2026-01,0.8137,1.0479,1.4907
Midwest,2026-02,0.8261,1.0212,1.5015
Midwest,2026-03,0.8303,1.0366,1.5635
Midwest,2026-04,0.816,1.0259,1.5269
Midwest,2026-05,0.8235,1.0222,1.562
Midwest,2026-06,0.8266,0.9908,1.5122
Midwest,2026-07,0.8073,0.9322,1.5629
Midwest,2026-08,0.8162,0.9439,1.5342
Southwest,2024-01,0.6884,1.0342,1.0965
Southwest,2024-02,0.6952,1.0241,1.1301
Southwest,2024-03,0.6765,1.0451,1.1736
Southwest,2024-04,0.6886,1.0125,1.1432
Southwest,2024-05,0.668,1.012,1.1106
Southwest,2024-06,0.6872,0.9973,1.1206
Southwest,2024-07,0.6872,0.9579,1.1539
Southwest,2024-08,0.6863,0.9702,1.163
Southwest,2024-09,0.6881,1.0356,1.1606
Southwest,2024-10,0.7088,1.0602,1.185
Southwest,2024-11,0.7086,1.0417,1.1594
Southwest,2024-12,0.6562,0.9259,1.1931
Southwest,2025-01,0.6842,1.0189,1.1688
Southwest,2025-02,0.6952,1.0296,1.1824
Southwest,2025-03,0.6937,1.0651,1.1601
Southwest,2025-04,0.6809,1.026,1.2158
Southwest,2025-05,0.6803,1.0048,1.1775
Southwest,2025-06,0.6883,0.9787,1.1875
Southwest,2025-07,0.6588,0.9303,1.2307
Southwest,2025-08,0.6914,0.9291,1.2715
Southwest,2025-09,0.6584,1.0305,1.2753
Southwest,2025-10,0.6518,1.0553,1.2623
Southwest,2025-11,0.6838,1.015,1.2922
Southwest,2025-12,0.669,0.9239,1.3365
Southwest,2026-01,0.6724,1.0218,1.2596
Southwest,2026-02,0.6606,1.0271,1.3119
Southwest,2026-03,0.6555,1.0349,1.302
Southwest,2026-04,0.6599,1.0113,1.3388
Southwest,2026-05,0.6455,1.0081,1.3299
Southwest,2026-06,0.6821,0.987,1.3402
Southwest,2026-07,0.6514,0.9149,1.3534
Southwest,2026-08,0.6741,0.9419,1.2981
West,2024-01,0.6529,1.0387,0.9673
West,2024-02,0.6324,1.0361,0.9821
West,2024-03,0.6591,1.0628,0.9303
West,2024-04,0.6632,1.0374,0.9744
West,2024-05,0.6578,0.9948,0.9602
West,2024-06,0.6516,0.972,0.9442
West,2024-07,0.681,0.9327,0.9524
West,2024-08,0.6499,0.9363,0.965
West,2024-09,0.6679,1.0274,0.9667
West,2024-10,0.6511,1.066,0.9667
West,2024-11,0.6683,1.0405,1.0112
West,2024-12,0.689,0.9455,0.9789
West,2025-01,0.6711,1.0559,1.0192
West,2025-02,0.6887,1.023,1.0267
West,2025-03,0.6661,1.0393,1.0404
West,2025-04,0.6555,1.0109,1.0385
West,2025-05,0.6643,0.9932,1.0501
West,2025-06,0.669,0.9925,1.0544
West,2025-07,0.6671,0.9313,1.0449
West,2025-08,0.681,0.9508,1.0657
West,2025-09,0.6431,1.0178,1.0703
West,2025-10,0.6765,1.0831,1.2794
West,2025-11,0.6773,1.0045,1.2021
West,2025-12,0.6787,0.9407,1.2006
West,2026-01,0.6803,1.0237,1.2397
West,2026-02,0.6675,1.0037,1.2322
West,2026-03,0.6529,1.0472,1.2353
West,2026-04,0.6748,1.0178,1.264
West,2026-05,0.6612,0.9941,1.2961
West,2026-06,0.6877,0.9866,1.2415
West,2026-07,0.661,0.9365,1.2469
West,2026-08,0.6845,0.9472,1.3005
Mountain,2024-01,0.8118,1.0076,1.0743
Mountain,2024-02,0.781,1.0232,1.1149
Mountain,2024-03,0.8197,1.0469,1.1289
Mountain,2024-04,0.8047,1.0197,1.0939
Mountain,2024-05,0.7838,1.0037,1.1373
Mountain,2024-06,0.7837,0.9846,1.0697
Mountain,2024-07,0.7909,0.9452,1.1413
Mountain,2024-08,0.7862,0.9731,1.1011
Mountain,2024-09,0.7799,1.0456,1.1713
Mountain,2024-10,0.7796,1.0446,1.1049
Mountain,2024-11,0.787,1.0538,1.1729
Mountain,2024-12,0.7928,0.9239,1.1348
Mountain,2025-01,0.78,1.0212,1.0981
Mountain,2025-02,0.7732,1.0244,1.1506
Mountain,2025-03,0.7644,1.0428,1.2016
Mountain,2025-04,0.7746,1.0194,1.1785
Mountain,2025-05,0.7767,0.9913,1.2269
Mountain,2025-06,0.7644,0.9656,1.1951
Mountain,2025-07,0.7719,0.9339,1.2128
Mountain,2025-08,0.7699,0.9338,1.4396
Mountain,2025-09,0.7978,1.0141,1.4999
Mountain,2025-10,0.7928,1.0605,1.5234
Mountain,2025-11,0.7938,1.023,1.4895
Mountain,2025-12,0.78,0.9323,1.4767
Mountain,2026-01,0.7827,1.0357,1.5116
Mountain,2026-02,0.7777,1.0187,1.5019
Mountain,2026-03,0.7832,1.0469,1.4995
Mountain,2026-04,0.775,1.0112,1.5163
Mountain,2026-05,0.7798,0.9956,1.5254
Mountain,2026-06,0.8108,1.014,1.5113
Mountain,2026-07,0.7442,0.9405,1.5191
Mountain,2026-08,0.791,0.9578,1.5035
Pacific Northwest,2024-01,0.6887,1.033,0.9351
Pacific Northwest,2024-02,0.7169,1.0388,0.9434
Pacific Northwest,2024-03,0.6962,1.0545,0.9795
Pacific Northwest,2024-04,0.7035,1.0188,0.962
Pacific Northwest,2024-05,0.6928,1.001,1.0037
Pacific Northwest,2024-06,0.7048,0.9769,0.9815
Pacific Northwest,2024-07,0.6993,0.9266,0.9135
Pacific Northwest,2024-08,0.7395,0.9572,0.9987
Pacific Northwest,2024-09,0.7016,1.0471,1.0173
Pacific Northwest,2024-10,0.7085,1.0774,0.9818
Pacific Northwest,2024-11,0.6863,1.0517,0.9807
Pacific Northwest,2024-12,0.6978,0.9272,1.025
Pacific Northwest,2025-01,0.7074,1.0391,1.035
Pacific Northwest,2025-02,0.7007,1.0466,1.0322
Pacific Northwest,2025-03,0.7118,1.0643,1.0547
Pacific Northwest,2025-04,0.7209,1.0019,1.0284
Pacific Northwest,2025-05,0.7195,1.0237,1.0547
Pacific Northwest,2025-06,0.7153,0.9806,1.0215
Pacific Northwest,2025-07,0.6977,0.9415,1.069
Pacific Northwest,2025-08,0.7318,0.9461,1.0336
Pacific Northwest,2025-09,0.7146,1.0378,1.0738
Pacific Northwest,2025-10,0.7266,1.0614,1.0433
Pacific Northwest,2025-11,0.7254,1.031,1.0826
Pacific Northwest,2025-12,0.7479,0.9131,1.0981
Pacific Northwest,2026-01,0.7156,1.0412,1.008
Pacific Northwest,2026-02,0.7273,1.0184,1.2834
Pacific Northwest,2026-03,0.7286,1.067,1.3307
Pacific Northwest,2026-04,0.7316,1.0152,1.3099
Pacific Northwest,2026-05,0.7295,1.0145,1.3167
Pacific Northwest,2026-06,0.7424,0.9709,1.2784
Pacific Northwest,2026-07,0.7351,0.9598,1.3353
Pacific Northwest,2026-08,0.7336,0.9572,1.3186
