event_id,hcp_id,registered,verified_attended,duration,engagement,reason,invited_at,channel,eligible_reason
EV2001,HCP102328,1.0,1.0,58.0,20.0,duplicate_signin,,,
EV2002,HCP102280,0.0,0.0,0.0,0.0,duplicate_signin,,,
EV2003,HCP100915,1.0,1.0,72.0,68.0,duplicate_signin,,,
EV2012,HCP101901,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2014,HCP100222,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2019,HCP102140,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2023,HCP101248,0.0,0.0,0.0,0.0,duplicate_signin,,,
EV2024,HCP100391,0.0,0.0,0.0,0.0,duplicate_signin,,,
EV2024,HCP100915,1.0,1.0,97.0,72.0,duplicate_signin,,,
EV2025,HCP102109,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2028,HCP100890,1.0,1.0,53.0,54.0,duplicate_signin,,,
EV2029,HCP101641,1.0,1.0,66.0,27.0,duplicate_signin,,,
EV2029,HCP100877,0.0,0.0,0.0,0.0,duplicate_signin,,,
EV2034,HCP101604,1.0,1.0,54.0,25.0,duplicate_signin,,,
EV2037,HCP100923,0.0,0.0,0.0,0.0,duplicate_signin,,,
EV2038,HCP101763,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2038,HCP101364,1.0,1.0,89.0,51.0,duplicate_signin,,,
EV2048,HCP101218,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2052,HCP100917,0.0,0.0,0.0,0.0,duplicate_signin,,,
EV2053,HCP101402,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2055,HCP100686,1.0,1.0,62.0,60.0,duplicate_signin,,,
EV2056,HCP100310,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2056,HCP100431,0.0,0.0,0.0,0.0,duplicate_signin,,,
EV2061,HCP101747,1.0,1.0,60.0,58.0,duplicate_signin,,,
EV2062,HCP100511,0.0,0.0,0.0,0.0,duplicate_signin,,,
EV2065,HCP101623,1.0,1.0,72.0,78.0,duplicate_signin,,,
EV2065,HCP102125,0.0,0.0,0.0,0.0,duplicate_signin,,,
EV2070,HCP100891,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2070,HCP101280,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2071,HCP101740,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2081,HCP101321,1.0,1.0,63.0,55.0,duplicate_signin,,,
EV2085,HCP102141,0.0,0.0,0.0,0.0,duplicate_signin,,,
EV2091,HCP100122,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2094,HCP101215,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2096,HCP102130,1.0,1.0,74.0,43.0,duplicate_signin,,,
EV2097,HCP102346,1.0,1.0,82.0,64.0,duplicate_signin,,,
EV2102,HCP101781,1.0,1.0,103.0,69.0,duplicate_signin,,,
EV2102,HCP102451,0.0,0.0,0.0,0.0,duplicate_signin,,,
EV2105,HCP101409,0.0,0.0,0.0,0.0,duplicate_signin,,,
EV2106,HCP100018,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2108,HCP102002,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2114,HCP100639,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2115,HCP100460,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2117,HCP101973,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2117,HCP102373,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2117,HCP101837,1.0,1.0,55.0,58.0,duplicate_signin,,,
EV2118,HCP100052,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2130,HCP101841,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2133,HCP100499,1.0,1.0,77.0,9.0,duplicate_signin,,,
EV2133,HCP102376,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2135,HCP100370,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2137,HCP100337,1.0,1.0,107.0,67.0,duplicate_signin,,,
EV2139,HCP100195,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2140,HCP102417,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2141,HCP100712,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2154,HCP100158,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2156,HCP101968,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2156,HCP100469,0.0,0.0,0.0,0.0,duplicate_signin,,,
EV2156,HCP101376,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2162,HCP101310,1.0,1.0,74.0,59.0,duplicate_signin,,,
EV2167,HCP101441,1.0,1.0,74.0,62.0,duplicate_signin,,,
EV2174,HCP100318,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2176,HCP101114,1.0,1.0,74.0,37.0,duplicate_signin,,,
EV2177,HCP100987,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2183,HCP102283,1.0,1.0,72.0,45.0,duplicate_signin,,,
EV2183,HCP102346,1.0,1.0,92.0,28.0,duplicate_signin,,,
EV2184,HCP101025,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2184,HCP101210,1.0,1.0,69.0,46.0,duplicate_signin,,,
EV2186,HCP100087,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2192,HCP102112,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2199,HCP101240,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2199,HCP101807,1.0,1.0,62.0,60.0,duplicate_signin,,,
EV2201,HCP101434,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2201,HCP101714,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2203,HCP100914,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2210,HCP101264,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2212,HCP101409,0.0,0.0,0.0,0.0,duplicate_signin,,,
EV2212,HCP102447,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2220,HCP101310,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2225,HCP100462,1.0,1.0,91.0,71.0,duplicate_signin,,,
EV2226,HCP101365,0.0,0.0,0.0,0.0,duplicate_signin,,,
EV2229,HCP100042,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2235,HCP100154,0.0,0.0,0.0,0.0,duplicate_signin,,,
EV2236,HCP101410,0.0,0.0,0.0,0.0,duplicate_signin,,,
EV2239,HCP102099,1.0,1.0,76.0,63.0,duplicate_signin,,,
EV2241,HCP100621,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2242,HCP102322,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2244,HCP100492,1.0,0.0,0.0,0.0,duplicate_signin,,,
EV2245,HCP100688,1.0,1.0,60.0,60.0,duplicate_signin,,,
EV2245,HCP101814,1.0,1.0,63.0,69.0,duplicate_signin,,,
EV2256,HCP101337,0.0,0.0,0.0,0.0,duplicate_signin,,,
EV2257,HCP100115,1.0,1.0,60.0,46.0,duplicate_signin,,,
EV2263,HCP102053,1.0,1.0,65.0,72.0,duplicate_signin,,,
EV2265,HCP100976,0.0,0.0,0.0,0.0,duplicate_signin,,,
EV2266,HCP100320,1.0,1.0,66.0,66.0,duplicate_signin,,,
EV2266,HCP102464,0.0,0.0,0.0,0.0,duplicate_signin,,,
EV2275,HCP100351,1.0,1.0,95.0,60.0,duplicate_signin,,,
EV2025,HCP101219,1.0,0.0,0.0,0.0,duplicate_signin,,,
