event_id,hcp_id,registered,verified_attended,duration,engagement,reason,invited_at,channel,eligible_reason
EV2013,HCP102314,,,,,non_completed_event,2024-09-12,Email,Combination of factors
EV2013,HCP100900,,,,,non_completed_event,2024-08-09,Rep,Combination of factors
EV2013,HCP100987,,,,,non_completed_event,2024-09-10,Email,Combination of factors
EV2013,HCP102458,,,,,non_completed_event,2024-09-14,Phone,Product affinity
EV2013,HCP100905,,,,,non_completed_event,2024-09-15,Phone,Combination of factors
EV2013,HCP100261,,,,,non_completed_event,2024-09-08,Phone,Product affinity
EV2013,HCP101164,,,,,non_completed_event,2024-08-01,Rep,Specialty match
EV2013,HCP100326,,,,,non_completed_event,2024-08-27,Rep,Product affinity
EV2013,HCP101841,,,,,non_completed_event,2024-08-18,Rep,Product affinity
EV2013,HCP100920,,,,,non_completed_event,2024-08-20,Email,Combination of factors
EV2013,HCP100003,,,,,non_completed_event,2024-09-10,Email,Geographic proximity
EV2013,HCP102031,,,,,non_completed_event,2024-09-07,Email,Combination of factors
EV2013,HCP101230,,,,,non_completed_event,2024-08-22,Email,Product affinity
EV2013,HCP101808,,,,,non_completed_event,2024-08-13,Rep,Product affinity
EV2013,HCP100544,,,,,non_completed_event,2024-08-23,Email,Product affinity
EV2013,HCP102045,,,,,non_completed_event,2024-08-23,Email,Combination of factors
EV2013,HCP101975,,,,,non_completed_event,2024-09-14,Phone,Product affinity
EV2013,HCP101283,,,,,non_completed_event,2024-08-28,Email,Combination of factors
EV2013,HCP101469,,,,,non_completed_event,2024-09-08,Email,Combination of factors
EV2013,HCP101963,,,,,non_completed_event,2024-09-13,Email,Combination of factors
EV2013,HCP101771,,,,,non_completed_event,2024-09-07,Email,Combination of factors
EV2013,HCP100069,,,,,non_completed_event,2024-08-31,Email,Geographic proximity
EV2013,HCP101653,,,,,non_completed_event,2024-08-23,Portal,Product affinity
EV2013,HCP100370,,,,,non_completed_event,2024-08-31,Email,Product affinity
EV2013,HCP100859,,,,,non_completed_event,2024-08-22,Portal,Product affinity
EV2013,HCP100823,,,,,non_completed_event,2024-08-11,Rep,Combination of factors
EV2013,HCP101925,,,,,non_completed_event,2024-08-29,Email,Patient-volume threshold
EV2013,HCP101248,,,,,non_completed_event,2024-08-23,Email,Combination of factors
EV2013,HCP100346,,,,,non_completed_event,2024-08-24,Email,Combination of factors
EV2013,HCP101120,,,,,non_completed_event,2024-08-21,Email,Patient-volume threshold
EV2013,HCP101798,,,,,non_completed_event,2024-08-27,Email,Geographic proximity
