hcp_id,specialty,region,segment,active_flag,reason,source_file,event_id,invited_at,channel,eligible_reason,registered,verified_attended,duration,engagement,month,product,nrx,trx,competitor_trx,date,rep_calls,emails,samples,other_events
HCP100025,Primary Care,Pacific Northwest,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100026,Primary Care,Midwest,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100037,Dermatology,Northeast,Low,0.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100039,Endocrinology,Midwest,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100043,Oncology,Southwest,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100090,Psychiatry,Southwest,Medium,0.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100100,Oncology,Midwest,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100107,Gastroenterology,West,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100111,Endocrinology,Northeast,High,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100127,Psychiatry,West,Low,0.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100144,Primary Care,Southeast,Low,0.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100161,Primary Care,Northeast,High,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100162,Oncology,Midwest,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100170,Cardiology,Southeast,High,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100188,Oncology,Midwest,Low,0.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100194,Cardiology,Midwest,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100216,Gastroenterology,Midwest,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100220,Primary Care,Southwest,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100230,Endocrinology,Southeast,High,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100244,Primary Care,Southeast,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100303,Primary Care,Northeast,Low,0.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100306,Oncology,Midwest,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100339,Psychiatry,Midwest,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100355,Primary Care,West,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100357,Dermatology,Southeast,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100409,Dermatology,Northeast,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100417,Primary Care,Southwest,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100434,Oncology,Southwest,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100450,Primary Care,Midwest,High,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100473,Psychiatry,Southeast,Medium,0.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100477,Gastroenterology,Northeast,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100546,Gastroenterology,Mountain,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100554,Primary Care,Northeast,High,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100558,Cardiology,Mountain,Medium,0.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100575,Neurology,Southeast,Low,0.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100582,Primary Care,Northeast,High,0.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100669,Primary Care,West,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100688,Endocrinology,West,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100690,Cardiology,Southwest,Low,0.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100692,Primary Care,Southeast,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100701,Cardiology,Southeast,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100742,Cardiology,West,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100749,Primary Care,Northeast,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100767,Primary Care,Southeast,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100807,Dermatology,Midwest,High,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100818,Neurology,Southwest,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100830,Gastroenterology,Midwest,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100832,Endocrinology,Southeast,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100857,Dermatology,West,Low,0.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100869,Psychiatry,Midwest,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100873,Gastroenterology,Northeast,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100881,Psychiatry,Midwest,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100883,Primary Care,Midwest,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100896,Neurology,Southeast,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100899,Cardiology,Midwest,Low,0.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100937,Endocrinology,Midwest,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100947,Endocrinology,Northeast,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100962,Neurology,Northeast,High,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100994,Primary Care,Northeast,High,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP100997,Oncology,Pacific Northwest,Medium,0.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101062,Cardiology,Northeast,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101067,Primary Care,Southwest,High,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
