hcp_id,product,n_observed,n_missing
HCP100001,CARDIVEX,31,1
HCP100001,NEUROVANT,32,0
HCP100002,CARDIVEX,31,1
HCP100002,ENDOSTAT,30,2
HCP100002,NEUROVANT,32,0
HCP100003,NEUROVANT,32,0
HCP100003,ONCOLERA,32,0
HCP100004,ENDOSTAT,32,0
HCP100005,CARDIVEX,32,0
HCP100005,NEUROVANT,32,0
HCP100006,NEUROVANT,30,2
HCP100007,NEUROVANT,32,0
HCP100007,ONCOLERA,32,0
HCP100008,CARDIVEX,32,0
HCP100008,ENDOSTAT,32,0
HCP100008,NEUROVANT,29,3
HCP100008,ONCOLERA,30,2
HCP100009,CARDIVEX,31,1
HCP100009,ENDOSTAT,32,0
HCP100009,ONCOLERA,32,0
HCP100010,NEUROVANT,32,0
HCP100010,ONCOLERA,32,0
HCP100011,NEUROVANT,32,0
HCP100011,ONCOLERA,29,3
HCP100012,CARDIVEX,32,0
HCP100012,ENDOSTAT,31,1
HCP100012,NEUROVANT,32,0
HCP100012,ONCOLERA,31,1
HCP100013,CARDIVEX,31,1
HCP100013,ENDOSTAT,31,1
HCP100014,ENDOSTAT,32,0
HCP100014,NEUROVANT,31,1
HCP100015,CARDIVEX,31,1
HCP100015,ENDOSTAT,31,1
HCP100015,NEUROVANT,31,1
HCP100016,ENDOSTAT,27,5
HCP100016,NEUROVANT,26,6
HCP100016,ONCOLERA,27,5
HCP100017,CARDIVEX,30,2
HCP100017,ONCOLERA,31,1
HCP100018,ENDOSTAT,32,0
HCP100018,NEUROVANT,26,6
HCP100019,ENDOSTAT,32,0
HCP100019,NEUROVANT,31,1
HCP100020,CARDIVEX,31,1
HCP100020,ENDOSTAT,32,0
HCP100020,ONCOLERA,32,0
HCP100021,CARDIVEX,31,1
HCP100021,ENDOSTAT,31,1
HCP100022,CARDIVEX,31,1
HCP100022,ENDOSTAT,30,2
HCP100022,NEUROVANT,32,0
HCP100022,ONCOLERA,32,0
HCP100023,CARDIVEX,32,0
HCP100023,ENDOSTAT,31,1
HCP100023,NEUROVANT,31,1
HCP100024,CARDIVEX,32,0
HCP100024,ONCOLERA,30,2
HCP100025,CARDIVEX,31,1
HCP100025,ENDOSTAT,32,0
HCP100025,NEUROVANT,30,2
HCP100026,CARDIVEX,32,0
HCP100026,ENDOSTAT,31,1
HCP100026,NEUROVANT,32,0
HCP100027,CARDIVEX,32,0
HCP100027,ENDOSTAT,30,2
HCP100027,NEUROVANT,32,0
HCP100027,ONCOLERA,32,0
HCP100028,ENDOSTAT,32,0
HCP100028,NEUROVANT,32,0
HCP100028,ONCOLERA,31,1
HCP100029,ENDOSTAT,31,1
HCP100029,NEUROVANT,30,2
HCP100030,CARDIVEX,31,1
HCP100030,ENDOSTAT,32,0
HCP100030,NEUROVANT,32,0
HCP100031,CARDIVEX,32,0
HCP100031,ENDOSTAT,30,2
HCP100032,CARDIVEX,31,1
HCP100032,ENDOSTAT,32,0
HCP100032,NEUROVANT,31,1
HCP100032,ONCOLERA,32,0
HCP100033,CARDIVEX,32,0
HCP100033,ENDOSTAT,32,0
HCP100034,CARDIVEX,31,1
HCP100034,ENDOSTAT,31,1
HCP100034,NEUROVANT,31,1
HCP100034,ONCOLERA,32,0
HCP100035,NEUROVANT,32,0
HCP100036,ENDOSTAT,31,1
HCP100037,ENDOSTAT,32,0
HCP100037,NEUROVANT,30,2
HCP100038,ENDOSTAT,31,1
HCP100038,NEUROVANT,31,1
HCP100039,CARDIVEX,32,0
HCP100039,ENDOSTAT,32,0
HCP100039,ONCOLERA,31,1
HCP100040,CARDIVEX,31,1
HCP100040,ENDOSTAT,32,0
HCP100041,NEUROVANT,32,0
HCP100041,ONCOLERA,31,1
HCP100042,CARDIVEX,32,0
HCP100042,ENDOSTAT,30,2
HCP100042,ONCOLERA,31,1
HCP100043,CARDIVEX,31,1
HCP100043,ENDOSTAT,31,1
HCP100043,NEUROVANT,32,0
HCP100043,ONCOLERA,32,0
HCP100044,ENDOSTAT,32,0
HCP100044,NEUROVANT,30,2
HCP100045,NEUROVANT,32,0
HCP100045,ONCOLERA,31,1
HCP100046,ENDOSTAT,31,1
HCP100046,NEUROVANT,32,0
HCP100046,ONCOLERA,30,2
HCP100047,CARDIVEX,31,1
HCP100047,ENDOSTAT,32,0
HCP100047,NEUROVANT,31,1
HCP100047,ONCOLERA,32,0
HCP100048,CARDIVEX,31,1
HCP100048,ENDOSTAT,31,1
HCP100048,NEUROVANT,32,0
HCP100049,CARDIVEX,32,0
HCP100049,ENDOSTAT,30,2
HCP100050,ONCOLERA,30,2
HCP100051,ENDOSTAT,30,2
HCP100051,ONCOLERA,29,3
HCP100052,NEUROVANT,25,7
HCP100052,ONCOLERA,25,7
HCP100053,CARDIVEX,32,0
HCP100053,ENDOSTAT,31,1
HCP100053,NEUROVANT,30,2
HCP100053,ONCOLERA,32,0
HCP100054,CARDIVEX,31,1
HCP100054,ENDOSTAT,32,0
HCP100054,NEUROVANT,32,0
HCP100055,CARDIVEX,32,0
HCP100055,ENDOSTAT,31,1
HCP100055,NEUROVANT,32,0
HCP100055,ONCOLERA,32,0
HCP100056,CARDIVEX,32,0
HCP100056,ENDOSTAT,32,0
HCP100056,NEUROVANT,32,0
HCP100057,ENDOSTAT,30,2
HCP100057,ONCOLERA,29,3
HCP100058,CARDIVEX,31,1
HCP100058,ENDOSTAT,29,3
HCP100058,NEUROVANT,31,1
HCP100058,ONCOLERA,32,0
HCP100059,CARDIVEX,31,1
HCP100059,ENDOSTAT,31,1
HCP100059,ONCOLERA,31,1
HCP100060,ENDOSTAT,26,6
HCP100060,NEUROVANT,26,6
HCP100061,CARDIVEX,32,0
HCP100061,ENDOSTAT,32,0
HCP100061,NEUROVANT,31,1
HCP100061,ONCOLERA,32,0
HCP100062,CARDIVEX,32,0
HCP100062,ENDOSTAT,31,1
HCP100062,NEUROVANT,31,1
HCP100063,CARDIVEX,31,1
HCP100064,CARDIVEX,32,0
HCP100064,ENDOSTAT,30,2
HCP100064,ONCOLERA,31,1
HCP100065,CARDIVEX,32,0
HCP100065,ENDOSTAT,31,1
HCP100066,CARDIVEX,26,6
HCP100066,ENDOSTAT,26,6
HCP100066,NEUROVANT,27,5
HCP100066,ONCOLERA,26,6
HCP100067,ENDOSTAT,32,0
HCP100067,ONCOLERA,30,2
HCP100068,CARDIVEX,32,0
HCP100068,ENDOSTAT,31,1
HCP100068,NEUROVANT,31,1
HCP100069,CARDIVEX,30,2
HCP100069,NEUROVANT,31,1
HCP100069,ONCOLERA,32,0
HCP100070,ENDOSTAT,32,0
HCP100071,CARDIVEX,31,1
HCP100071,NEUROVANT,30,2
HCP100071,ONCOLERA,32,0
HCP100072,CARDIVEX,32,0
HCP100072,ENDOSTAT,31,1
HCP100073,CARDIVEX,31,1
HCP100073,ENDOSTAT,30,2
HCP100073,NEUROVANT,31,1
HCP100073,ONCOLERA,32,0
HCP100074,CARDIVEX,31,1
HCP100074,NEUROVANT,32,0
HCP100075,CARDIVEX,31,1
HCP100075,ENDOSTAT,31,1
HCP100075,NEUROVANT,32,0
HCP100076,CARDIVEX,32,0
